Age_physical_avg_min,(bkg)C6H6O_UWCIMS,(bkg)CH2O2_UWCIMS,(bkg)CO_QCL,(bkg)HCN_UWCIMS,(bkg)HONO_UWCIMS,(bkg)dihydro_furandione_C4H4O3_PTR,(bkg)methyl_methacrylate_C5H8O2_PTR,(bkg)3_HEXANONE_C6H12O_PTR,(bkg)acetic_anhydride_C4H6O3_PTR,(bkg)phenylacetylene_C8H6_PTR,(bkg)benzonitrile_C7H5N_PTR,(bkg)styrene_C8H8_PTR,(bkg)vinylpyridine_C7H7N_PTR,(bkg)benzaldehyde_C7H6O_PTR,(bkg)C8_AROMATICS_C8H10_PTR,(bkg)pyridine_aldehyde_C6H5NO_PTR,(bkg)heptyl_nitriles_C7H9N_PTR,(bkg)p_benzoquinone_C6H4O2_PTR,(bkg)o_cresol_C7H8O_PTR,(bkg)C7_acrylonitrile_C7H11N_PTR,(bkg)5_METHYLFURFURAL_C6H6O2_PTR,(bkg)C3_furan_C7H10O_PTR,(bkg)dihydroxy_pyridine_C5H5NO2_PTR,(bkg)5_hydroxy_2_furfural_PTR,(bkg)2_hydroxy_3_methyl_2_cyclopenten_1_one_C6H8O2_PTR,(bkg)ethylcyclopentanone_C7H12O_PTR,(bkg)nitrofuran_C4H3NO3_PTR,(bkg)5_hydroxymethyl_2_3H_furanone_C5H6O3_PTR,(bkg)C6_diones_C6H10O2_PTR,(bkg)heptanal_C7H14O_PTR,(bkg)2_5_dihydroxymethyl_dihydrofurfural_C5H8O3_PTR,(bkg)indene_C9H8_PTR,(bkg)C6_esters_C6H12O2_PTR,(bkg)butene_nitrates_C4H7NO3_PTR,(bkg)benzeneacetonitrile_C8H7N_PTR,(bkg)benzofuran_C8H6O_PTR,(bkg)indane_C9H10_PTR,(bkg)dihydro_pyridine_C8H9N_PTR,(bkg)tolualdehyde_C8H8O_PTR,(bkg)C9_AROMATICS_C9H12_PTR,(bkg)salicylaldehyde_C7H6O2_PTR,(bkg)C2_phenols_C8H10O_PTR,(bkg)nitrobenzene_C6H5NO2_PTR,(bkg)hydroxy_benzoquinone_C6H4O3_PTR,(bkg)guaiacol_C7H8O2_PTR,(bkg)C8_nitriles_C8H15N_PTR,(bkg)dimethyl_trisulfide_C2H6S3_PTR,(bkg)5_hydroxymethyl_2_furfural_C6H6O3_PTR,(bkg)2_5_di_hydroxymethyl_furan_C6H8O3_PTR,(bkg)napthalene_C10H8_PTR,(bkg)dihydronapthalene_C10H10_PTR,(bkg)methyl_benzeneacetonitrile_C9H9N_PTR,(bkg)methyl_benzofuran_C9H8O_PTR,(bkg)methyl_propenyl_benzene_C10H12_PTR,(bkg)3_methylacetophenone_C9H10O_PTR,(bkg)C10_AROMATICS_C10H14_PTR,(bkg)methyl_benzoic_acid_C8H8O2_PTR,(bkg)MONOTERPENES_C10H16_PTR,(bkg)nitrotoluene_C7H7NO2_PTR,(bkg)creosol_C8H10O2_PTR,(bkg)methyl_naphthalene_C11H10_PTR,(bkg)levoglucosan_pyrolysis_product_C6H8O4_PTR,(bkg)2_ethyl_benzofuran_C10H8O_PTR,(bkg)ethylindene_C11H12_PTR,(bkg)dimethylbenzofuran_C10H10O_PTR,(bkg)estragole_C10H12O_PTR,(bkg)C11_aromatics_C11H16_PTR,(bkg)vinyl_guaiacol_C9H10O2_PTR,(bkg)vanillin_C8H8O3_PTR,(bkg)acenaphthylene_C12H8_PTR,(bkg)camphor_C10H16O_PTR,(bkg)syringol_C8H10O3_PTR,(bkg)cineole_C10H18O_PTR,(bkg)1_3_dimethylnaphthalene_C12H12_PTR,(bkg)decanal_C10H20O_PTR,(bkg)C12_aromatics_C12H18_PTR,(bkg)eugenol_C10H12O2_PTR,(bkg)C13_aromatics_C13H20_PTR,(bkg)sesquiterpenes_C15H24_PTR,(bkg)HCN_PTR,(bkg)ethene_C2H4_PTR,(bkg)methanimine_CH3N_PTR,(bkg)formaldehyde_CH2O_PTR,(bkg)METHANOL_CH3OH_PTR,(bkg)hydrogen_sulfide_H2S_PTR,(bkg)PROPYNE_C3H4_PTR,(bkg)ACETONITRILE_C2H3N_PTR,(bkg)propene_C3H6_PTR,(bkg)isocyanic_acid_HNCO_PTR,(bkg)ethenamine_C2H5N_PTR,(bkg)ACETALDEHYDE_C2H4O_PTR,(bkg)formamide_CH3NO_PTR,(bkg)ethylamine_C2H7N_PTR,(bkg)formic_acid_CH2O2_PTR,(bkg)ETHANOL_C2H6O_PTR,(bkg)HONO_HNO2_PTR,(bkg)methane_thiol_CH4S_PTR,(bkg)methane_diol_CH4O2_PTR,(bkg)propiolonitrile_C3HN_PTR,(bkg)1_buten_3_yne_C4H4_PTR,(bkg)acrylonitrile_C3H3N_PTR,(bkg)2_propynal_C3H2O_PTR,(bkg)butadiene_C4H6_PTR,(bkg)propane_PTR,(bkg)acrolein_C3H4O_PTR,(bkg)1_BUTENE_PTR,(bkg)methyl_isocyanate_C2H3NO_PTR,(bkg)propene_amine_C3H7N_PTR,(bkg)glyoxal_C2H2O2_PTR,(bkg)ACETONE_C3H6O_PTR,(bkg)acetamide_C2H5NO_PTR,(bkg)trimethylamine_C3H9N_PTR,(bkg)acetic_acid_C2H4O2_PTR,(bkg)propanol_C3H8O_PTR,(bkg)nitromethane_CH3NO2_PTR,(bkg)DMS_PTR,(bkg)cyanoallene_isomers_C4H3N_PTR,(bkg)1_3_cyclopentadiene_C5H6,(bkg)pyrrol_C4H5N_PTR,(bkg)carbon_suboxide_C3O2_PTR,(bkg)FURAN_C4H4O_PTR,(bkg)ISOPRENE_C5H8_PTR,(bkg)dihydropyrrole_C4H7N_PTR,(bkg)propiolic_acid_C3H2O2_PTR,(bkg)MACR_MVK_C4H6O_PTR,(bkg)pentene_C5H10_PTR,(bkg)butene_amine_C4H9N_PTR,(bkg)methyl_glyoxal_C3H4O2_PTR,(bkg)MEK_C4H8O_PTR,(bkg)nitroethene_C2H3NO2_PTR,(bkg)hydroxyacetone_C3H6O2_PTR,(bkg)nitroethane_C2H5NO2_PTR,(bkg)n_sulfinyl_methanamine_CH3NOS_PTR,(bkg)BENZENE_C6H6_PTR,(bkg)pyridine_C5H5N_PTR,(bkg)2_4_cyclopentadiene_1_one_C5H4O_PTR,(bkg)methyl_pyrrole_isomers_C5H7N_PTR,(bkg)2_METHYLFURAN_C5H6O_PTR,(bkg)pentanenitriles_C5H9N_PTR,(bkg)thiophene_C4H4S_PTR,(bkg)2_3H_furanone_C4H4O2_PTR,(bkg)cyclopentanone_C5H8O_PTR,(bkg)2_3_butanedione_C4H6O2_PTR,(bkg)3_methyl_2_butanone_C5H10O_PTR,(bkg)pyruvic_acid_C3H4O3_PTR,(bkg)methyl_propanoate_C4H8O2_PTR,(bkg)nitropropanes_C3H7NO2_PTR,(bkg)ethylnylpyrrole_C6H5N_PTR,(bkg)TOLUENE_C7H8_PTR,(bkg)3_furancarbonitrile_C5H3NO_PTR,(bkg)2_methyl_pyridine_C6H7N_PTR,(bkg)dimethyl_disulfide_C2H6S2_PTR,(bkg)phenol_C6H6O_PTR,(bkg)4_pyridinol_C5H5NO_PTR,(bkg)2_5_dimethyl_pyrrole_C6H9N_PTR,(bkg)2_FURALDEHYDE_C5H4O2_PTR,(bkg)2_5_dimethyl_furan_C6H8O,(bkg)4_methylpentanenitrile_C6H11N_PTR,(bkg)maleic_anhydride_C4H2O3_PTR,(bkg)methyl_thiophenes_C5H6S_PTR,(bkg)2_furanmethanol_C5H6O2_PTR,(bkg)cyclohexanone_C6H10O_PTR,(bkg)Methane_PICARRO,(bkg)NO,(bkg)NO2,(bkg)O3,(bkg)PAN_ppb
49.84904067,0.029129608,7.511719308,111.9463646,0.21437344,0.008904665,0.008302827,0.03402963,0.001169827,0.0,0.0,0.0,0.00034637,0.000724917,0.001763893,0.000840805,0.0,0.000217713,0.000574266,0.0,0.000733452,0.0,0.0,0.0,0.032741837,0.0,0.0,0.001018231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002695835,0.000332784,0.001146017,0.0,0.073013057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005126984,0.0,0.0,0.0,0.0,0.000329157,0.0,0.0,0.0,0.0,0.0,0.0,2.274751234,5.712023699,0.0,0.047609658,0.142439866,0.029806874,0.011673813,0.0,0.847620393,0.008299114,0.0,2.225732501,0.531975263,0.0,0.001985975,0.0,0.0,0.001756413,0.0,0.0,0.0,0.0,0.011309603,0.0,0.006620531,0.001099867,0.007265365,3.378315992,0.092379687,0.003040409,1.60026407,0.0,0.013621272,0.0,0.0,0.0,0.0,0.0,0.0,0.158252902,0.002393962,0.003440592,0.233886686,0.0,0.0,0.020261867,0.09815371,0.0,0.073513984,0.0,0.0,0.036870663,0.0,0.0,0.000413883,0.012911702,0.0,0.0,0.003972222,0.003155648,0.066006628,0.051997603,0.0,0.023913117,0.0,0.001795255,0.01331357,0.0,0.003379274,0.000398126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002135279,0.0,1884.792958,0.027693013,0.134952879,46.85499657,0.418881898
50.68881562,0.029642682,7.482503773,152.8243324,0.274487061,0.009746915,0.034259115,0.235373985,0.012134596,0.001179172,0.0,0.003843735,0.0,0.000438068,0.008258482,0.009899505,0.001775658,0.0,0.001512153,0.002544778,0.0,0.0,0.0,0.000512983,0.046042505,0.0,0.000596827,0.000593321,0.000676566,0.002799432,0.000992862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000617305,0.00133104,0.003015545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000807972,0.000978034,0.0,0.001031285,0.026132757,0.002491776,0.001166325,0.0,0.185863111,0.0,0.001304226,0.0,0.0,0.0,0.0,0.0,0.001104637,0.000475632,0.001507553,0.0,0.0,0.009698796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000718189,0.011774296,0.013545628,0.0,2.334854546,6.787343027,0.0,0.081807473,0.242440095,0.071378046,0.049528832,0.0,1.159451366,0.017459274,0.0,3.100042917,0.602044539,0.0,0.0,0.020281269,0.0,0.0,0.001200907,0.005138614,0.012632124,0.008432892,0.071962534,0.0,0.005723433,0.0,0.022531094,3.595120658,0.115178066,0.005786292,2.369640221,0.00126847,0.019201796,0.0,0.0,0.0,0.0,0.0,0.006280847,0.24685047,0.014429385,0.002519969,0.325227891,0.000863859,0.003405128,0.061422516,0.126352845,0.002234683,0.185168996,0.0,0.000859577,0.072589223,0.0,0.001524158,0.0,0.065756422,0.001693881,0.002754602,0.00164732,0.013473882,0.11507744,0.069086622,0.0,0.041764053,0.0,0.0,0.086287271,0.000963913,0.007514105,0.001896981,0.010053443,0.0,0.0,0.002326005,0.0,0.0,0.02724012,0.001558233,0.008828165,0.0,1889.410636,0.036389495,0.188217635,44.65840151,0.418881898
58.57658389,0.00464525,5.165851167,118.4639237,0.173074223,0.0,0.010193963,0.230260458,0.012299036,0.0,0.0,0.000418757,0.001074114,0.000339889,0.002998212,0.006978131,0.001903524,0.000728117,0.002281358,0.00172435,0.0,0.0,0.0,0.0,0.038756151,0.0,0.000476572,0.000772216,0.0,0.001281429,0.000547271,0.000902325,0.0,0.0,0.000479856,0.0,0.003674313,0.001025043,0.0,0.000936941,0.0,0.0,0.00102204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001834425,0.018643709,0.000774146,0.000507511,0.0,0.035818462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000562783,0.0,0.003152599,0.0,0.0,0.003912618,0.0,0.0,0.0,0.0,0.000620249,0.0,0.000433003,0.000549506,0.0,0.0,0.0,2.138311232,4.41058933,0.0,0.019759847,0.177162692,0.009151416,0.038321677,0.002560318,0.621875831,0.0,0.0,2.579854803,0.199625731,0.0,0.009590823,0.010715603,0.0,0.00390912,0.0,0.0,0.0,0.003581976,0.024084556,0.0,0.002220818,0.007005953,0.031613249,2.459412258,0.064304209,0.002151459,2.069094334,0.0,0.010886648,0.0,0.0,0.000432724,0.001786232,0.0,0.002245018,0.05503325,0.004355037,0.001682008,0.159577355,0.0,0.0,0.048177001,0.064278967,0.001195222,0.128446283,0.000874513,0.0,0.035086785,0.0,0.0,0.00046026,0.064220144,0.000575661,0.004842592,0.0,0.003960979,0.054550448,0.01770775,0.0,0.017063275,0.0,0.0,0.029419778,0.0,0.01460794,0.0,0.0,0.0,0.0,0.0,0.0,0.000613004,0.008804287,0.005278117,0.007747683,0.0,1882.709935,0.029914871,0.146736716,47.73989215,0.418881898
62.99652878,0.014599953,6.995222553,156.9041018,0.271770155,0.000876269,0.008821444,0.214050109,0.014646217,0.0,0.0,0.003784588,0.0,0.0,0.006506658,0.010045032,0.002435024,0.000420201,0.003160712,0.001776525,0.000822247,0.0,0.0,0.0,0.047021625,0.000626697,0.00117771,0.000259075,0.0,0.0,0.001007023,0.0,0.0,0.0,0.0,0.0,0.002068581,0.001356901,0.0,0.000869353,0.003540655,0.002107962,0.000357274,0.0,0.0,0.0,0.0,0.0,0.0,0.000395242,0.000630554,0.0,0.0,0.000622043,0.01489144,0.000265762,0.000306174,0.0,0.03878677,0.000211439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001075195,0.003164175,0.0,0.0,0.007598541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009306163,0.0,0.0,1.746344454,5.617686215,0.0,0.024936389,0.238705973,0.031371521,0.050176892,0.005302443,0.90577288,0.007722173,0.0,2.818524768,0.214456817,0.0,0.005506331,0.005366201,0.0,0.0054668,0.0,0.008731937,0.005700995,0.017665552,0.037959574,0.0,0.004783451,0.0,0.027293443,3.245318205,0.092906059,0.009234708,2.056278163,0.0,0.005127071,0.002717618,0.0,0.00109134,0.001948462,0.0,0.011128451,0.053108189,0.00131927,0.004647254,0.22205297,0.0,0.0,0.044316223,0.119827966,0.001685258,0.170221179,0.0,0.002099622,0.084025228,0.0,0.000924959,0.0,0.060179672,0.001322395,0.002686325,0.005569197,0.00757192,0.07564881,0.028793965,0.0,0.022877949,0.0,0.000273271,0.057748067,0.000934604,0.012184038,0.000290928,0.004553182,0.0,0.0,0.001702036,0.0,0.000210741,0.024310884,0.018840955,0.001993757,0.002350573,1885.861068,0.032642385,0.149315605,46.95925507,0.418881898
94.86470578,0.036266989,7.963465425,175.4104543,0.311568675,0.005251077,0.016414938,0.191218715,0.011703366,0.001753201,0.00160792,0.011888574,0.001792406,0.00125934,0.010852544,0.017789364,0.0,0.000778616,0.012474784,0.002461899,0.0,0.0,0.000861104,0.0,0.045051,0.001532698,0.0,0.000574524,0.0,0.0,0.001456026,0.001177774,0.0,0.0,0.000400994,0.000814729,0.000784803,0.000697214,0.0,0.00214918,0.00585834,0.0,0.001077829,0.0,0.0,0.0,0.0,0.0,0.002344091,0.0,0.001215636,0.0,0.0,0.001641297,0.015803553,0.001855156,0.003298765,0.001465692,0.124701967,0.0,0.0,0.0,0.0,0.0,0.0,0.001008914,0.000768094,0.0005194,0.000762154,0.0,0.0,0.010066723,0.0,0.0,0.0,0.0,0.0,0.000638416,0.0,0.0,0.007135393,0.009619029,0.0,2.763364409,7.152780018,0.0,0.089359241,0.341000459,0.046881686,0.017411092,0.003306152,1.316683299,0.0,0.0,3.257548837,0.546277594,0.0,0.011087744,0.006669133,0.0,0.003408245,0.003211831,0.025766037,0.054868493,0.016394138,0.076116979,0.006242159,0.008602967,0.0,0.015119329,3.76729841,0.12700861,0.007979535,2.573891835,0.001718677,0.026698737,0.0,0.0,0.000661825,0.001636323,0.0,0.035108502,0.238605561,0.019242297,0.0,0.305063729,0.001341374,0.0,0.058581011,0.138647084,0.005393568,0.197825446,0.002202982,0.0,0.114172619,0.002581461,0.0,0.001609165,0.048414215,0.003175722,0.0,0.017656754,0.012646169,0.134497981,0.064683385,0.002041341,0.042592801,0.001042211,0.0,0.094797594,0.0,0.007034719,0.000821081,0.011275138,0.000580401,0.001145793,0.01267139,0.0,0.0,0.044346756,0.009451585,0.009623054,0.001596432,1891.198599,0.036477199,0.149410954,46.86404419,0.418881898
96.23395998,0.052994062,7.639497948,153.7881312,0.305225692,0.008220338,0.014736206,0.186042256,0.002041635,0.0,0.0,0.001377535,0.0,0.001087102,0.003380236,0.021874859,0.0,0.0,0.002677841,0.000860903,0.000455336,0.0,0.000682352,0.0,0.039164892,0.0,0.000625407,0.0,0.002183339,0.0,0.0,0.0,0.0,0.0,0.000348642,0.000578717,0.001854328,0.0,0.0,0.001445613,0.0,0.0,0.002854934,0.0,0.0,0.001115363,0.000333498,0.0,0.0,0.0,0.0,0.0,0.0,0.001770826,0.014183054,0.002751157,0.001550633,0.0,0.115132083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002278605,0.000643739,0.000845094,0.0,0.0,0.00622258,0.0,0.0,0.0,0.0,0.0,0.000655917,0.0,0.0,0.005599287,0.0,0.0,2.349078978,6.596210355,0.0,0.072525249,0.26492924,0.046983078,0.092061368,0.007840585,1.132886215,0.0,0.0,2.979641638,0.539042066,0.0,0.003178779,0.004588324,0.00134226,0.003127033,0.0,0.017785857,0.014915822,0.007800967,0.061428261,0.0,0.007012238,0.0,0.024784093,3.595396698,0.081561672,0.012849404,2.141252411,0.003495098,0.013871482,0.0,0.0,0.000530489,0.001161897,0.0,0.017490288,0.16749854,0.008112454,0.005258211,0.274038811,0.0,0.0,0.043838952,0.104355116,0.00150735,0.17095452,0.0,0.0,0.089753173,0.001191511,0.00068036,0.0,0.050179409,0.001342347,0.003334607,0.004876649,0.005818629,0.093852356,0.058128117,0.003911614,0.03445406,0.0,0.0,0.079489349,0.002098257,0.002606141,0.0,0.001905749,0.000574918,0.0,0.003807175,0.002457419,0.0,0.031997594,0.0,0.008508109,0.0,1886.692638,0.031239853,0.145203557,46.51664265,0.418881898
102.6979926,0.012665268,7.088643488,120.4579111,0.219924999,0.004294977,0.013773166,0.030187978,0.002633702,0.0,0.0,0.001169719,0.001014064,0.0,0.002986765,0.007191423,0.002164992,0.0,0.002357471,0.0,0.0,0.0,0.0,0.0,0.024981754,0.002283777,0.0,0.00055379,0.0,0.0,0.001312768,0.0,0.000701213,0.001290193,0.0,0.0,0.000550416,0.0,0.000494619,0.000551897,0.001495202,0.0,0.0,0.0,0.0,0.0,0.0,0.001086461,0.0,0.0,0.0,0.0,0.0,0.0,0.002339733,0.000823921,0.0,0.0,0.091832033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000972972,0.0,0.001313427,0.0,0.001273143,0.002081188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.946239917,6.306757266,0.0,0.060956303,0.183268748,0.01923545,0.0,0.0,0.961930968,0.0,0.0,2.657473438,0.613066936,0.0,0.0,0.00954316,0.0,0.0,0.0,0.005410266,0.03297991,0.002407224,0.023404139,0.0,0.001856895,0.00343362,0.013422427,3.399811361,0.079051485,0.00466357,2.012376309,0.0,0.01973322,0.0,0.0,0.0,0.0,0.0,0.006206983,0.18769297,0.006906292,0.0,0.273925405,0.000830977,0.000678566,0.036135944,0.096817156,0.001002597,0.130113398,0.0,0.001306116,0.043536568,0.0,0.0,0.001026549,0.009450157,0.000621312,0.0,0.0,0.003627462,0.056670965,0.050945596,0.0,0.03293034,0.0,0.000557662,0.025955918,0.000748807,0.000926318,0.000598711,0.002921905,0.0,0.0,0.0,0.0,0.0,0.004413808,0.00299226,0.000635154,0.0,1886.219744,0.027684685,0.160954523,46.9096945,0.418881898
116.7871731,0.033825954,7.317874887,158.9104115,0.264805833,0.0,0.013524997,0.153756114,0.002349816,0.0,0.0,0.00737442,0.000679929,0.0,0.010265963,0.014938509,0.000824226,0.001121688,0.000881238,0.0,0.0,0.0,0.0,0.0,0.031550487,0.0,0.0,0.000953544,0.0,0.001213043,0.000430313,0.000636425,0.0,0.0,0.0,0.0,0.0,0.0,0.000234653,0.001456847,0.0,0.0,0.000825168,0.0,0.0,0.0,0.000373831,0.0,0.000720333,0.0,0.0,0.0,0.0,0.001023285,0.009948089,0.0,0.005074169,0.0,0.129056794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000582926,0.0,0.0,0.0,0.0,0.00825522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003898338,0.0,0.0,1.637613701,6.751948259,0.0,0.084305124,0.254713653,0.051914762,0.013030729,0.0,1.168743935,0.003871391,0.0,2.789796931,0.581778605,0.0,0.0,0.003922063,0.0,0.0,0.003217617,0.014614793,0.07447237,0.008951169,0.084584636,0.003201809,0.009921733,0.0,0.012028296,3.551661462,0.121945266,0.006280728,2.1581345,0.001648403,0.025413122,0.004820949,0.0,0.001362204,0.0,0.0,0.011480662,0.206504146,0.016544696,0.002820116,0.309678912,0.00295817,0.0,0.055653639,0.125939853,0.0,0.141706384,0.0,0.0,0.087626675,0.001664943,0.000733219,0.003628835,0.045289768,0.000961132,0.001176592,0.008374025,0.010502621,0.127224953,0.050473048,0.001372923,0.034511059,0.000843521,0.002272728,0.073951391,0.000887998,0.004334751,0.0,0.010508091,0.0,0.000372039,0.001080031,0.0,0.0,0.023136843,0.001874079,0.000844641,0.002150259,1888.901271,0.024750088,0.117549092,46.03427202,0.418881898
123.8811074,0.02285181,7.549509572,154.9397615,0.249166572,0.001122636,0.021908367,0.219298635,0.010987723,0.0,0.0,0.003521654,0.001832053,0.000699404,0.005358603,0.008877485,0.0,0.001477646,0.005828293,0.0,0.0,0.0,0.0,0.0,0.039084785,0.004233251,0.0,0.0,0.0,0.004317366,0.002662399,0.0,0.00191716,0.0,0.000351743,0.0,0.0,0.0,0.000511357,0.001094065,0.003709525,0.001781251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016097047,0.002715701,0.00306516,0.0,0.152734552,0.0,0.0,0.0,0.0,0.0,0.0,0.000887227,0.0,0.0,0.001837509,0.0,0.0,0.00674251,0.0,0.001326083,0.0,0.0,0.0,0.0,0.0,0.0,0.006740662,0.0,0.0,2.668294226,6.6273848,0.0,0.082217529,0.264502897,0.039325748,0.050317392,0.008503264,1.107403375,0.004123226,0.0,2.978477877,0.493076567,0.0,0.005106287,0.004933719,0.0,0.0,0.001759579,0.025863801,0.043601203,0.002483996,0.055445553,0.0,0.0,0.0,0.023649686,3.547496666,0.093996024,0.015303132,2.063286494,0.002300178,0.017922544,0.004988311,0.0,0.002665594,0.0,0.0,0.017428443,0.237832772,0.018219314,0.003443712,0.322530707,0.0,0.003103627,0.043330562,0.115886739,0.001168274,0.164833081,0.0,0.0,0.090276319,0.001691339,0.001045049,0.000890556,0.064432586,0.001426116,0.003106839,0.0,0.009974761,0.110773743,0.062513601,0.0,0.02783784,0.000591398,0.0,0.069234284,0.000983021,0.007034229,0.00101197,0.005884238,0.0,0.000671959,0.0,0.0,0.0,0.024948677,0.008537865,0.007501498,0.0,1888.315783,0.032919685,0.158162748,44.6522593,0.418881898
188.8875742,0.021107926,7.455207333,128.0577136,0.252448068,0.007029751,0.01467599,0.185801519,0.004658232,0.0,0.0,0.001483298,0.0,0.000340081,0.004581432,0.004806126,0.0,0.00056342,0.0,0.0,0.0,0.0,0.0,0.0,0.035264831,0.0,0.001556076,0.0,0.0,0.002895386,0.000872121,0.0,0.0,0.0,0.001037049,0.0,0.000991862,0.000969835,0.000319577,0.0,0.001689313,0.0,0.001297177,0.0,0.0,0.0,0.0,0.001182998,0.0,0.001328655,0.0,0.0,0.0,0.001738669,0.014263836,0.0,0.00157213,0.0,0.172098543,0.0,0.0,0.001818667,0.0,0.0,0.0,0.0,0.0,0.0,0.00202943,0.0,0.0,0.012221319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.517368424,6.534928974,0.0,0.059862279,0.184444963,0.082064683,0.006236508,0.0,0.948378084,0.0,0.0,3.372046296,0.434208081,0.0,0.003095185,0.008221941,0.000979429,0.002278892,0.0,0.0068203,0.018169913,0.004780984,0.037826397,0.007458559,0.001206453,0.0,0.011779122,3.632254346,0.116996265,0.016883518,2.302256402,0.007902631,0.014855357,0.0,0.0,0.000987784,0.00074652,0.002858663,0.0,0.186527895,0.008652143,0.0,0.329367026,0.00288999,0.002751464,0.059524016,0.099019653,0.0,0.170951365,0.0,0.0,0.038242561,0.0,0.0,0.004118616,0.03716402,0.001619553,0.004835663,0.0,0.006861213,0.144012525,0.047388233,0.0,0.039033497,0.000420573,0.001925545,0.056426286,0.000704518,0.001621317,0.000528963,0.001537911,0.000335517,0.0,0.0,0.0,0.0,0.012016625,0.0,0.008247071,0.00140466,1888.503163,0.029914871,0.146736716,45.91840504,0.418881898
