Age_physical_avg_min,(smk)C6H6O_UWCIMS,(smk)CH2O2_UWCIMS,(smk)CO_QCL,(smk)HCN_UWCIMS,(smk)HONO_UWCIMS,(smk)dihydro_furandione_C4H4O3_PTR,(smk)methyl_methacrylate_C5H8O2_PTR,(smk)3_HEXANONE_C6H12O_PTR,(smk)acetic_anhydride_C4H6O3_PTR,(smk)phenylacetylene_C8H6_PTR,(smk)benzonitrile_C7H5N_PTR,(smk)styrene_C8H8_PTR,(smk)vinylpyridine_C7H7N_PTR,(smk)benzaldehyde_C7H6O_PTR,(smk)C8_AROMATICS_C8H10_PTR,(smk)pyridine_aldehyde_C6H5NO_PTR,(smk)heptyl_nitriles_C7H9N_PTR,(smk)p_benzoquinone_C6H4O2_PTR,(smk)o_cresol_C7H8O_PTR,(smk)C7_acrylonitrile_C7H11N_PTR,(smk)5_METHYLFURFURAL_C6H6O2_PTR,(smk)C3_furan_C7H10O_PTR,(smk)dihydroxy_pyridine_C5H5NO2_PTR,(smk)5_hydroxy_2_furfural_PTR,(smk)2_hydroxy_3_methyl_2_cyclopenten_1_one_C6H8O2_PTR,(smk)ethylcyclopentanone_C7H12O_PTR,(smk)nitrofuran_C4H3NO3_PTR,(smk)5_hydroxymethyl_2_3H_furanone_C5H6O3_PTR,(smk)C6_diones_C6H10O2_PTR,(smk)heptanal_C7H14O_PTR,(smk)2_5_dihydroxymethyl_dihydrofurfural_C5H8O3_PTR,(smk)indene_C9H8_PTR,(smk)C6_esters_C6H12O2_PTR,(smk)butene_nitrates_C4H7NO3_PTR,(smk)benzeneacetonitrile_C8H7N_PTR,(smk)benzofuran_C8H6O_PTR,(smk)indane_C9H10_PTR,(smk)dihydro_pyridine_C8H9N_PTR,(smk)tolualdehyde_C8H8O_PTR,(smk)C9_AROMATICS_C9H12_PTR,(smk)salicylaldehyde_C7H6O2_PTR,(smk)C2_phenols_C8H10O_PTR,(smk)nitrobenzene_C6H5NO2_PTR,(smk)hydroxy_benzoquinone_C6H4O3_PTR,(smk)guaiacol_C7H8O2_PTR,(smk)C8_nitriles_C8H15N_PTR,(smk)dimethyl_trisulfide_C2H6S3_PTR,(smk)5_hydroxymethyl_2_furfural_C6H6O3_PTR,(smk)2_5_di_hydroxymethyl_furan_C6H8O3_PTR,(smk)napthalene_C10H8_PTR,(smk)dihydronapthalene_C10H10_PTR,(smk)methyl_benzeneacetonitrile_C9H9N_PTR,(smk)methyl_benzofuran_C9H8O_PTR,(smk)methyl_propenyl_benzene_C10H12_PTR,(smk)3_methylacetophenone_C9H10O_PTR,(smk)C10_AROMATICS_C10H14_PTR,(smk)methyl_benzoic_acid_C8H8O2_PTR,(smk)MONOTERPENES_C10H16_PTR,(smk)nitrotoluene_C7H7NO2_PTR,(smk)creosol_C8H10O2_PTR,(smk)methyl_naphthalene_C11H10_PTR,(smk)levoglucosan_pyrolysis_product_C6H8O4_PTR,(smk)2_ethyl_benzofuran_C10H8O_PTR,(smk)ethylindene_C11H12_PTR,(smk)dimethylbenzofuran_C10H10O_PTR,(smk)estragole_C10H12O_PTR,(smk)C11_aromatics_C11H16_PTR,(smk)vinyl_guaiacol_C9H10O2_PTR,(smk)vanillin_C8H8O3_PTR,(smk)acenaphthylene_C12H8_PTR,(smk)camphor_C10H16O_PTR,(smk)syringol_C8H10O3_PTR,(smk)cineole_C10H18O_PTR,(smk)1_3_dimethylnaphthalene_C12H12_PTR,(smk)decanal_C10H20O_PTR,(smk)C12_aromatics_C12H18_PTR,(smk)eugenol_C10H12O2_PTR,(smk)C13_aromatics_C13H20_PTR,(smk)sesquiterpenes_C15H24_PTR,(smk)HCN_PTR,(smk)ethene_C2H4_PTR,(smk)methanimine_CH3N_PTR,(smk)formaldehyde_CH2O_PTR,(smk)METHANOL_CH3OH_PTR,(smk)hydrogen_sulfide_H2S_PTR,(smk)PROPYNE_C3H4_PTR,(smk)ACETONITRILE_C2H3N_PTR,(smk)propene_C3H6_PTR,(smk)isocyanic_acid_HNCO_PTR,(smk)ethenamine_C2H5N_PTR,(smk)ACETALDEHYDE_C2H4O_PTR,(smk)formamide_CH3NO_PTR,(smk)ethylamine_C2H7N_PTR,(smk)formic_acid_CH2O2_PTR,(smk)ETHANOL_C2H6O_PTR,(smk)HONO_HNO2_PTR,(smk)methane_thiol_CH4S_PTR,(smk)methane_diol_CH4O2_PTR,(smk)propiolonitrile_C3HN_PTR,(smk)1_buten_3_yne_C4H4_PTR,(smk)acrylonitrile_C3H3N_PTR,(smk)2_propynal_C3H2O_PTR,(smk)butadiene_C4H6_PTR,(smk)propane_PTR,(smk)acrolein_C3H4O_PTR,(smk)1_BUTENE_PTR,(smk)methyl_isocyanate_C2H3NO_PTR,(smk)propene_amine_C3H7N_PTR,(smk)glyoxal_C2H2O2_PTR,(smk)ACETONE_C3H6O_PTR,(smk)acetamide_C2H5NO_PTR,(smk)trimethylamine_C3H9N_PTR,(smk)acetic_acid_C2H4O2_PTR,(smk)propanol_C3H8O_PTR,(smk)nitromethane_CH3NO2_PTR,(smk)DMS_PTR,(smk)cyanoallene_isomers_C4H3N_PTR,(smk)1_3_cyclopentadiene_C5H6,(smk)pyrrol_C4H5N_PTR,(smk)carbon_suboxide_C3O2_PTR,(smk)FURAN_C4H4O_PTR,(smk)ISOPRENE_C5H8_PTR,(smk)dihydropyrrole_C4H7N_PTR,(smk)propiolic_acid_C3H2O2_PTR,(smk)MACR_MVK_C4H6O_PTR,(smk)pentene_C5H10_PTR,(smk)butene_amine_C4H9N_PTR,(smk)methyl_glyoxal_C3H4O2_PTR,(smk)MEK_C4H8O_PTR,(smk)nitroethene_C2H3NO2_PTR,(smk)hydroxyacetone_C3H6O2_PTR,(smk)nitroethane_C2H5NO2_PTR,(smk)n_sulfinyl_methanamine_CH3NOS_PTR,(smk)BENZENE_C6H6_PTR,(smk)pyridine_C5H5N_PTR,(smk)2_4_cyclopentadiene_1_one_C5H4O_PTR,(smk)methyl_pyrrole_isomers_C5H7N_PTR,(smk)2_METHYLFURAN_C5H6O_PTR,(smk)pentanenitriles_C5H9N_PTR,(smk)thiophene_C4H4S_PTR,(smk)2_3H_furanone_C4H4O2_PTR,(smk)cyclopentanone_C5H8O_PTR,(smk)2_3_butanedione_C4H6O2_PTR,(smk)3_methyl_2_butanone_C5H10O_PTR,(smk)pyruvic_acid_C3H4O3_PTR,(smk)methyl_propanoate_C4H8O2_PTR,(smk)nitropropanes_C3H7NO2_PTR,(smk)ethylnylpyrrole_C6H5N_PTR,(smk)TOLUENE_C7H8_PTR,(smk)3_furancarbonitrile_C5H3NO_PTR,(smk)2_methyl_pyridine_C6H7N_PTR,(smk)dimethyl_disulfide_C2H6S2_PTR,(smk)phenol_C6H6O_PTR,(smk)4_pyridinol_C5H5NO_PTR,(smk)2_5_dimethyl_pyrrole_C6H9N_PTR,(smk)2_FURALDEHYDE_C5H4O2_PTR,(smk)2_5_dimethyl_furan_C6H8O,(smk)4_methylpentanenitrile_C6H11N_PTR,(smk)maleic_anhydride_C4H2O3_PTR,(smk)methyl_thiophenes_C5H6S_PTR,(smk)2_furanmethanol_C5H6O2_PTR,(smk)cyclohexanone_C6H10O_PTR,(smk)Methane_PICARRO,(smk)NO,(smk)NO2,(smk)O3,(smk)PAN_ppb
49.84904067,0.129093846,10.70115154,277.25625,0.700665385,0.03114,0.03865913,0.126003029,0.006024737,0.0,0.005450347,0.031415671,0.001288054,0.001855776,0.035613354,0.078518674,0.002572743,0.002609432,0.030708492,0.041706281,0.0,0.015599343,0.00327355,0.001386571,0.10216043,0.003899774,0.001778327,0.0,0.0,0.0,0.0,0.00189483,0.0,0.006500653,0.000728798,0.000962939,0.008154015,0.0,0.00083468,0.012866522,0.014919516,0.0,0.00865789,0.0,0.002114485,0.014654724,0.0,0.0,0.005022526,0.0,0.002245213,0.0,0.0,0.005217357,0.004412861,0.008273195,0.007740224,0.0,0.14987851,0.0,0.002505612,0.0,0.0,0.0,0.001158888,0.001306745,0.0,0.001070801,0.001358254,0.0,0.00421511,0.019266781,0.0,0.0,0.0,0.0,0.00096859,0.001302288,0.0,0.0,0.038252289,0.0,0.0,6.227790619,10.22192257,0.0,0.146009331,0.722868898,0.537545579,0.243792861,0.006095206,2.862437777,0.049974162,0.0,3.854442081,1.123821123,0.0,0.005266417,0.006506966,0.0,0.011142103,0.036459007,0.056252773,0.197979782,0.046347802,0.398203068,0.102242442,0.019987248,0.009398179,0.028265574,4.96518422,0.171811125,0.017908597,3.234848453,0.0,0.053177669,0.0,0.0,0.005008208,0.01712302,0.0,0.20558814,0.255820488,0.033511131,0.009397559,0.567780836,0.002415122,0.0,0.151043461,0.243545734,0.0,0.369142053,0.001749764,0.0,0.316473941,0.014235673,0.000792633,0.005873939,0.087337432,0.016256422,0.0,0.100651567,0.041199756,0.257223452,0.1160338,0.004041959,0.097158783,0.002433767,0.0,0.241257882,0.008379396,0.0,0.001616814,0.112610362,0.001369312,0.0,0.157153998,0.008788181,0.003982495,0.129300131,0.033880957,0.016345534,0.004831683,1901.3875,0.082152781,0.298461875,50.1609375,
50.68881562,0.076019,9.027922,314.15625,0.631686333,0.001914667,0.061293136,0.271518839,0.012779804,0.0,0.0,0.03647997,0.007665145,0.0004707,0.045471927,0.102511415,0.004293669,0.001672263,0.032417658,0.037987525,0.0,0.036051932,0.002415468,0.001883659,0.095085695,0.010389236,0.002022483,0.002534122,0.0,0.01346561,0.002238134,0.000928702,0.0,0.0,0.0,0.002318747,0.005698785,0.004586429,0.0,0.017419642,0.019719857,0.004596701,0.006755563,0.0,0.001771424,0.032408536,0.000251742,0.0,0.002445052,0.004990438,0.007668473,0.0,0.0,0.001960028,0.030392575,0.015714784,0.010749004,0.00522362,0.12376635,0.000360394,0.00354681,0.002559112,0.0,0.0,0.000533198,0.0,0.002162375,0.000550126,0.00252023,0.0,0.001001133,0.012220864,0.000783761,0.0,0.0,0.0,0.0,0.0,0.00110288,0.001643301,0.097259721,0.0,0.0,4.508374755,9.52831318,0.0,0.148700259,0.793649599,0.485351594,0.178548957,0.003215738,2.610093603,0.030141401,0.0,4.071011154,0.458836951,0.0,0.005565631,0.01048444,0.0,0.0090587,0.036344064,0.018442617,0.03666054,0.040089693,0.353576134,0.100542241,0.016459543,0.0,0.02747635,4.545157014,0.157891687,0.009430129,3.718001586,0.0,0.048909278,0.0031697,0.0,0.003778241,0.010104986,0.0,0.179525095,0.221591855,0.02789536,0.012894061,0.4709649,0.0,0.001251713,0.101959484,0.260211654,0.00485479,0.44443868,0.000902175,0.0,0.362072561,0.017426144,0.00222851,0.003979541,0.119694304,0.015567762,0.004197048,0.064570195,0.042717194,0.278749649,0.09247221,0.001810057,0.09060704,0.000513575,0.002061087,0.258081338,0.002180754,0.024910903,0.000713633,0.109010831,0.001315633,0.0,0.145790134,0.01524767,0.000873946,0.133125917,0.010852953,0.025424989,0.004091432,1904.9125,0.0521965,0.22624625,46.65748438,
58.57658389,0.006204667,10.31187133,242.9967742,0.315374667,0.0,0.072617632,0.298637996,0.019667551,0.003085278,0.0015854,0.013290695,0.001314968,0.000468038,0.009225425,0.019112404,0.001097078,0.000762993,0.007743639,0.000897704,0.0,0.0,0.000809902,0.0,0.100514683,0.005198532,0.0,0.000766914,0.002745009,0.005513012,0.002701109,0.0,0.0,0.0,0.0,0.0,0.002701441,0.00159593,0.000801173,0.001949207,0.001945316,0.0,0.0,0.000413713,0.0,0.001784551,0.0,0.0,0.0,0.0,0.001762142,0.0,0.0,0.001271387,0.017177274,0.00074064,0.00163648,0.0,0.004061611,0.0,0.001133626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000913181,0.0,0.0,0.005664194,0.0,0.0,0.001007029,0.0,0.000537751,0.0,0.0,0.0,0.011785404,0.0,0.0,2.441913365,7.294732963,0.0,0.031694836,0.360267608,0.038806973,0.150491765,0.0070609,1.184488462,0.011159849,0.0,4.821453695,0.212158061,0.0,0.004195807,0.005269195,0.0,0.003095287,0.002963222,0.027687958,0.113983885,0.009247145,0.092837693,0.0,0.01013449,0.0,0.061426482,4.499434562,0.174011953,0.00963666,3.788438996,0.0,0.052539381,0.0,0.0,0.0,0.000980214,0.006886859,0.011525417,0.016194224,0.004723407,0.0,0.210328566,0.0,0.001020128,0.103762003,0.157495447,0.001375966,0.389183095,0.000848184,0.0,0.189963906,0.00464339,0.0,0.0,0.069024785,0.001723374,0.00398509,0.002337878,0.009576256,0.12256216,0.026366269,0.002220355,0.063229636,0.001933018,0.0,0.113393747,0.000617906,0.023792593,0.001059054,0.01103043,0.000534672,0.001450916,0.009081915,0.002226286,0.000413334,0.072005098,0.030170444,0.004097883,0.001156429,1900.477419,,,48.65077419,
62.99652878,0.078044,8.616228,297.365,0.57509,0.000956,0.074575084,0.233983889,0.018558043,0.003830177,0.0,0.030907705,0.002239091,0.000822884,0.041014513,0.094490167,0.001378288,0.0,0.027569321,0.035173088,0.000709089,0.018429026,0.002959384,0.000909321,0.091851223,0.008271786,0.002180452,0.003487977,0.0,0.008155518,0.00362374,0.0,0.001676913,0.0,0.0,0.001164429,0.008496174,0.001988419,0.0,0.014783684,0.014889136,0.004645121,0.007123541,0.0,0.002800724,0.016556541,0.0,0.0,0.006535848,0.001679863,0.004978132,0.0,0.0,0.003483986,0.016233487,0.008392755,0.008277342,0.006787309,0.080243358,0.000658828,0.0,0.0,0.0,0.0,0.0,0.0,0.002945443,0.0,0.00275162,0.0,0.001585069,0.011288746,0.0,0.0,0.0,0.0,0.0,0.0,0.001015,0.0,0.025158368,0.0,0.0,3.921619851,8.677530565,0.0,0.111148269,0.720507842,0.37424363,0.131637453,0.0,2.079969985,0.022574513,0.0,3.58334172,0.556600877,0.0,0.005497758,0.014861308,0.0,0.0,0.026271027,0.0,0.024047233,0.022924027,0.31432985,0.039366654,0.02054786,0.0,0.047391731,4.052670286,0.1507891,0.00896284,2.872524266,0.0,0.047027871,0.0,0.0,0.003681922,0.00185252,0.00623975,0.162042299,0.097868676,0.014446029,0.009002337,0.366057474,0.002548205,0.0,0.080313191,0.236813957,0.0,0.360462319,0.00285606,0.00194942,0.308984077,0.008618097,0.003161812,0.001048203,0.117488794,0.01191803,0.002518571,0.054488374,0.037950514,0.164267159,0.072345827,0.0,0.066959068,0.0,0.0,0.23001718,0.004424197,0.02008705,0.002394065,0.114129622,0.000793296,0.000932273,0.134077963,0.007996947,0.002337489,0.115261413,0.027869129,0.01061876,0.003283647,1901.865,,,,
94.86470578,0.085161111,10.066765,313.1222222,0.683202222,0.013355556,0.051429241,0.212951293,0.008712664,0.002920347,0.002488831,0.033452481,0.006679065,0.0,0.043590777,0.073300632,0.0,0.0,0.023495988,0.018577501,0.001377408,0.023428556,0.0,0.0,0.097809612,0.00414218,0.0,0.002326538,0.0,0.006820802,0.003317214,0.0,0.001693765,0.0,0.000662262,0.000575209,0.003301841,0.001051143,0.000621078,0.021451296,0.0149869,0.0,0.007947826,0.0,0.0,0.00950319,0.0,0.002809349,0.003893875,0.0,0.0,0.0,0.0005418,0.002866247,0.015627121,0.010812822,0.002797191,0.003346756,0.092090752,0.000897407,0.002482446,0.0,0.0,0.0,0.001297376,0.0,0.001385179,0.001064811,0.001550968,0.0,0.0,0.012270898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000822555,0.081289803,0.0,0.0,4.451625287,9.154224359,0.0,0.123036447,0.754382868,0.37493222,0.198421232,0.005832674,2.455943289,0.060835154,0.006034892,3.93764864,0.503236288,0.0,0.0,0.006531114,0.0,0.005252607,0.035589672,0.063044953,0.114347542,0.040112972,0.367614704,0.080590271,0.021977013,0.007327795,0.029262175,4.442064383,0.162816228,0.016750385,3.232278396,0.0,0.078788022,0.0,0.0,0.000892311,0.006641696,0.0,0.169886817,0.178891762,0.018381902,0.019020827,0.426516165,0.002230912,0.0,0.078891196,0.25811961,0.0,0.382374567,0.0,0.0,0.369290253,0.019498289,0.001603153,0.001192078,0.091395656,0.013492643,0.010888531,0.073700462,0.035792141,0.263965363,0.087377444,0.0,0.063511436,0.00076495,0.0,0.226946964,0.004014418,0.015240886,0.0,0.095324692,0.002280994,0.0,0.111949918,0.003043085,0.002643005,0.148557127,0.013005525,0.01063912,0.005640942,1903.311111,0.091782389,0.329821389,51.61775,
96.23395998,0.093186316,9.636805263,308.0238095,0.664247368,0.007921053,0.062575308,0.234470192,0.010385395,0.001832653,0.00211479,0.030200371,0.009281127,0.0,0.041388534,0.082653875,0.0,0.001131173,0.018727938,0.023667946,0.0,0.013002392,0.001046489,0.0,0.096510949,0.012011618,0.004110102,0.000961332,0.0,0.003201276,0.0,0.0,0.0,0.001322606,0.0,0.000866955,0.003779369,0.0,0.0,0.015261331,0.009301291,0.003882811,0.005703798,0.0,0.002885487,0.010761728,0.000376876,0.0,0.009826839,0.001802387,0.0,0.0,0.0,0.005816206,0.006169728,0.008803779,0.009209167,0.001346999,0.068348213,0.0,0.0,0.0,0.001438433,0.0,0.0,0.001202461,0.0,0.000759352,0.001063037,0.001284967,0.0,0.009215337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03657107,0.013447625,0.0,4.082701883,9.067710556,0.0,0.112976099,0.788850477,0.421733465,0.177603178,0.00673876,2.422610819,0.032507457,0.0,4.097099546,0.597619368,0.0,0.011640903,0.006737106,0.001823548,0.00571726,0.031334778,0.019045879,0.066854423,0.033281136,0.308874047,0.074756624,0.025775369,0.004190866,0.030698999,4.337619128,0.163915146,0.011738373,3.353288937,0.00288366,0.045082539,0.004670656,0.0,0.001731285,0.013868647,0.010038766,0.133917782,0.126852665,0.022676165,0.003770782,0.427622171,0.0,0.0,0.146043279,0.246254757,0.0,0.417083969,0.0,0.001916653,0.319392578,0.014240144,0.000700451,0.003042407,0.087293392,0.012726113,0.013993284,0.104641269,0.033647795,0.257557662,0.067169983,0.002858104,0.081039464,0.001503621,0.002154962,0.237102444,0.00537979,0.016203417,0.001032505,0.115299044,0.001133039,0.0,0.111037025,0.011422276,0.004190311,0.129175595,0.013001293,0.021238355,0.003468167,1903.285714,0.045392929,0.18274381,48.55916667,
102.6979926,0.134964,10.92520133,384.9866667,0.919492667,0.003369333,0.048329326,0.112405301,0.006359999,0.002884192,0.003723048,0.054006737,0.007910057,0.000892571,0.074559651,0.134765979,0.0,0.003146403,0.047849691,0.075251672,0.0,0.067179478,0.005772322,0.0,0.127837807,0.019160436,0.0,0.0,0.001908656,0.0,0.002971238,0.0,0.0,0.00190248,0.002620893,0.003127864,0.01134091,0.005220908,0.001651947,0.041708602,0.020384294,0.013248716,0.021876036,0.00068922,0.009395767,0.036288037,0.0,0.0,0.011175366,0.00997909,0.00251587,0.0,0.0,0.00386945,0.015429126,0.02253096,0.014845656,0.011319562,0.110645537,0.0,0.0,0.0,0.0,0.0,0.0010765,0.00141658,0.0,0.00394507,0.001542719,0.00168528,0.0,0.012378416,0.0,0.0,0.0,0.0,0.0,0.001149377,0.0,0.0,0.101750775,0.0,0.0,6.683241615,10.86847072,0.0,0.170746538,1.075722347,0.757605627,0.253142273,0.0,3.596620901,0.087280091,0.0,4.25527622,1.185060517,0.0,0.026874061,0.0,0.0,0.0,0.070880147,0.029156542,0.14451525,0.069591277,0.548410664,0.190190635,0.046571808,0.004648772,0.027488294,4.933332377,0.178260379,0.014719028,3.641071534,0.0,0.074241984,0.009612046,0.0,0.005547333,0.019093226,0.007202567,0.260198425,0.194163465,0.020639021,0.004117968,0.603001182,0.005689253,0.0,0.170404679,0.33019465,0.004077702,0.515299865,0.004046345,0.0,0.501640643,0.025404403,0.003142202,0.008414014,0.10625224,0.01548621,0.013910351,0.155045709,0.052700876,0.340156082,0.10266676,0.004718528,0.09825347,0.000888244,0.001950631,0.332325677,0.007843778,0.0254664,0.001747015,0.19128632,0.002246067,0.0,0.222227022,0.03385976,0.004693621,0.201071076,0.032693225,0.027522672,0.010375535,1909.94,0.043104567,0.229217333,52.11753333,
116.7871731,0.121335294,11.44122,405.8647059,0.965337647,0.018250588,0.083398737,0.199508349,0.009556856,0.004892671,0.0,0.05207005,0.007366778,0.001064526,0.061747381,0.131273532,0.001926074,0.00210795,0.054250681,0.04808487,0.002117706,0.032916399,0.0,0.001296308,0.143388562,0.008142092,0.0,0.0,0.0,0.010281789,0.002408331,0.0,0.0,0.001749558,0.0,0.003191792,0.009309888,0.001669357,0.0,0.029578406,0.021292612,0.0,0.004623712,0.0,0.002437466,0.022626931,0.0,0.011279485,0.008172807,0.002598955,0.004909325,0.001129737,0.0,0.00353633,0.012125586,0.014010375,0.010290443,0.0,0.052962034,0.0,0.002294822,0.0,0.0,0.0,0.0,0.0,0.002463074,0.0,0.001444351,0.0,0.0,0.011481237,0.0,0.0,0.0,0.0,0.0,0.001190164,0.0,0.0,0.213486736,0.0,0.0,6.571489806,10.31092904,0.0,0.164384793,1.047176403,0.772163178,0.343758411,0.0,3.495647097,0.076775058,0.0,4.129325061,0.532319883,0.0,0.016420083,0.006350489,0.0,0.010723446,0.090497903,0.091085564,0.281037001,0.073281333,0.616108605,0.132360817,0.047404561,0.004127195,0.045991492,4.750964319,0.175047409,0.006920086,3.667955651,0.003698777,0.123903553,0.007732367,0.0,0.004529206,0.021600941,0.0,0.212645003,0.101470582,0.025569725,0.004517899,0.494329536,0.0,0.0,0.158822714,0.31619993,0.002226905,0.489563325,0.002269784,0.0,0.491810044,0.037301896,0.005044561,0.011284987,0.100063651,0.018529755,0.015149565,0.12400906,0.051593249,0.315446192,0.069690686,0.004680453,0.093655697,0.001106719,0.003900093,0.317890628,0.006001651,0.017862335,0.0,0.146477638,0.005375942,0.002590683,0.200250133,0.024025984,0.003588399,0.216400623,0.043533095,0.023063375,0.013925784,1911.066667,0.073657206,0.293029118,57.53697059,
123.8811074,0.025746667,8.854225333,224.72,0.369945333,0.0,0.014718959,0.209508253,0.009788232,0.003331203,0.003712637,0.020612778,0.004502232,0.0,0.01689395,0.046511456,0.002008076,0.002987269,0.011181693,0.011815127,0.0,0.0,0.001691298,0.0,0.087843364,0.0,0.0,0.0,0.0,0.003987217,0.0,0.0,0.0,0.0,0.0,0.0,0.002702401,0.001883787,0.0,0.009876416,0.002370415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002386917,0.0,0.0,0.0,0.023714974,0.003078214,0.002961242,0.0,0.032797066,0.0,0.0,0.0,0.0,0.0,0.001410235,0.0,0.0,0.0,0.001757995,0.0,0.0,0.01208005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012983986,0.0,0.0,2.757570457,6.966995539,0.0,0.064954885,0.449933525,0.107526274,0.110242699,0.0,1.469283175,0.011707507,0.0,3.5530895,0.265737412,0.0,0.0073714,0.006481074,0.0,0.0,0.011626996,0.014628681,0.030776121,0.00384979,0.159873408,0.019640957,0.010910769,0.004219541,0.034193245,3.792137033,0.126579106,0.00767676,2.174215946,0.0,0.020582407,0.007895577,0.0,0.0,0.0,0.006544754,0.049286061,0.027982941,0.003926202,0.0,0.272100178,0.002467855,0.0,0.039463623,0.178411936,0.002965372,0.224406391,0.001919642,0.001830398,0.20338657,0.010836463,0.0,0.001829942,0.076836837,0.003760266,0.012309862,0.004915036,0.018395194,0.141048302,0.028891682,0.003884454,0.038264404,0.0,0.001286657,0.133079787,0.001486572,0.012397049,0.0,0.033016851,0.0,0.001077163,0.045377365,0.004628394,0.0008684,0.067588161,0.006233164,0.006824043,0.002772279,1895.706667,0.033022733,0.158157,46.99563333,
188.8875742,0.0207184,9.6011664,183.9875,0.2950556,0.0039528,0.026535008,0.195333043,0.007960305,0.0,0.0,0.006006247,0.00076253,0.000421218,0.007287936,0.016705923,0.001696014,0.0014461,0.001264704,0.003951013,0.0,0.0,0.0,0.0,0.065602359,0.0,0.000696808,0.0,0.000836385,0.005361936,0.0,0.0,0.0,0.0,0.000402643,0.000357827,0.002714014,0.0,0.0,0.00277418,0.001918044,0.0,0.0,0.0,0.0,0.0,0.0,0.005810789,0.001127729,0.001151325,0.001113956,0.0,0.0,0.000810308,0.010930901,0.000600527,0.002078145,0.00102368,0.078604299,0.0,0.00243061,0.0,0.0,0.0,0.000596969,0.0,0.000777657,0.0,0.000831887,0.0,0.0,0.006439794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030819236,0.0,0.0,1.703964018,7.559532922,0.0,0.082202092,0.307842611,0.050126331,0.045493214,0.0,1.32500972,0.019130217,0.0,4.03907965,0.518507448,0.0,0.00763412,0.012460836,0.0,0.002735664,0.004593909,0.06150307,0.123967408,0.013000255,0.122754254,0.006442038,0.005504549,0.004395735,0.021177963,4.132519328,0.148324207,0.013496657,3.179102006,0.002144865,0.040582966,0.007603859,0.0,0.0,0.001076314,0.003279291,0.017647689,0.142069545,0.009458016,0.0,0.329278699,0.0,0.0,0.102071075,0.138266083,0.001551472,0.27792068,0.001856396,0.00147848,0.123628828,0.0,0.001179455,0.001313522,0.052055261,0.003238833,0.0,0.00233379,0.01240795,0.177144201,0.038993649,0.005942387,0.063069071,0.000477875,0.001525647,0.087636284,0.000782464,0.004472632,0.0,0.005569969,0.0,0.0,0.002931987,0.0,0.000477814,0.031439114,0.007881459,0.00663866,0.002891436,1892.25,0.030355984,0.156246719,46.15839063,
