,Age_physical_avg_min,(smk)C6H6O_UWCIMS,(smk)CH2O2_UWCIMS,(smk)CO_QCL,(smk)HCN_UWCIMS,(smk)HONO_UWCIMS,(smk)dihydro_furandione_C4H4O3_PTR,(smk)methyl_methacrylate_C5H8O2_PTR,(smk)3_HEXANONE_C6H12O_PTR,(smk)acetic_anhydride_C4H6O3_PTR,(smk)phenylacetylene_C8H6_PTR,(smk)benzonitrile_C7H5N_PTR,(smk)styrene_C8H8_PTR,(smk)vinylpyridine_C7H7N_PTR,(smk)benzaldehyde_C7H6O_PTR,(smk)C8_AROMATICS_C8H10_PTR,(smk)pyridine_aldehyde_C6H5NO_PTR,(smk)heptyl_nitriles_C7H9N_PTR,(smk)p_benzoquinone_C6H4O2_PTR,(smk)o_cresol_C7H8O_PTR,(smk)C7_acrylonitrile_C7H11N_PTR,(smk)5_METHYLFURFURAL_C6H6O2_PTR,(smk)C3_furan_C7H10O_PTR,(smk)dihydroxy_pyridine_C5H5NO2_PTR,(smk)5_hydroxy_2_furfural_PTR,(smk)2_hydroxy_3_methyl_2_cyclopenten_1_one_C6H8O2_PTR,(smk)ethylcyclopentanone_C7H12O_PTR,(smk)nitrofuran_C4H3NO3_PTR,(smk)5_hydroxymethyl_2_3H_furanone_C5H6O3_PTR,(smk)C6_diones_C6H10O2_PTR,(smk)heptanal_C7H14O_PTR,(smk)2_5_dihydroxymethyl_dihydrofurfural_C5H8O3_PTR,(smk)indene_C9H8_PTR,(smk)C6_esters_C6H12O2_PTR,(smk)butene_nitrates_C4H7NO3_PTR,(smk)benzeneacetonitrile_C8H7N_PTR,(smk)benzofuran_C8H6O_PTR,(smk)indane_C9H10_PTR,(smk)dihydro_pyridine_C8H9N_PTR,(smk)tolualdehyde_C8H8O_PTR,(smk)C9_AROMATICS_C9H12_PTR,(smk)salicylaldehyde_C7H6O2_PTR,(smk)C2_phenols_C8H10O_PTR,(smk)nitrobenzene_C6H5NO2_PTR,(smk)hydroxy_benzoquinone_C6H4O3_PTR,(smk)guaiacol_C7H8O2_PTR,(smk)C8_nitriles_C8H15N_PTR,(smk)dimethyl_trisulfide_C2H6S3_PTR,(smk)5_hydroxymethyl_2_furfural_C6H6O3_PTR,(smk)2_5_di_hydroxymethyl_furan_C6H8O3_PTR,(smk)napthalene_C10H8_PTR,(smk)dihydronapthalene_C10H10_PTR,(smk)methyl_benzeneacetonitrile_C9H9N_PTR,(smk)methyl_benzofuran_C9H8O_PTR,(smk)methyl_propenyl_benzene_C10H12_PTR,(smk)3_methylacetophenone_C9H10O_PTR,(smk)C10_AROMATICS_C10H14_PTR,(smk)methyl_benzoic_acid_C8H8O2_PTR,(smk)MONOTERPENES_C10H16_PTR,(smk)nitrotoluene_C7H7NO2_PTR,(smk)creosol_C8H10O2_PTR,(smk)methyl_naphthalene_C11H10_PTR,(smk)levoglucosan_pyrolysis_product_C6H8O4_PTR,(smk)2_ethyl_benzofuran_C10H8O_PTR,(smk)ethylindene_C11H12_PTR,(smk)dimethylbenzofuran_C10H10O_PTR,(smk)estragole_C10H12O_PTR,(smk)C11_aromatics_C11H16_PTR,(smk)vinyl_guaiacol_C9H10O2_PTR,(smk)vanillin_C8H8O3_PTR,(smk)acenaphthylene_C12H8_PTR,(smk)camphor_C10H16O_PTR,(smk)syringol_C8H10O3_PTR,(smk)cineole_C10H18O_PTR,(smk)1_3_dimethylnaphthalene_C12H12_PTR,(smk)decanal_C10H20O_PTR,(smk)C12_aromatics_C12H18_PTR,(smk)eugenol_C10H12O2_PTR,(smk)C13_aromatics_C13H20_PTR,(smk)sesquiterpenes_C15H24_PTR,(smk)HCN_PTR,(smk)ethene_C2H4_PTR,(smk)methanimine_CH3N_PTR,(smk)formaldehyde_CH2O_PTR,(smk)METHANOL_CH3OH_PTR,(smk)hydrogen_sulfide_H2S_PTR,(smk)PROPYNE_C3H4_PTR,(smk)ACETONITRILE_C2H3N_PTR,(smk)propene_C3H6_PTR,(smk)isocyanic_acid_HNCO_PTR,(smk)ethenamine_C2H5N_PTR,(smk)ACETALDEHYDE_C2H4O_PTR,(smk)formamide_CH3NO_PTR,(smk)ethylamine_C2H7N_PTR,(smk)formic_acid_CH2O2_PTR,(smk)ETHANOL_C2H6O_PTR,(smk)HONO_HNO2_PTR,(smk)methane_thiol_CH4S_PTR,(smk)methane_diol_CH4O2_PTR,(smk)propiolonitrile_C3HN_PTR,(smk)1_buten_3_yne_C4H4_PTR,(smk)acrylonitrile_C3H3N_PTR,(smk)2_propynal_C3H2O_PTR,(smk)butadiene_C4H6_PTR,(smk)propane_PTR,(smk)acrolein_C3H4O_PTR,(smk)1_BUTENE_PTR,(smk)methyl_isocyanate_C2H3NO_PTR,(smk)propene_amine_C3H7N_PTR,(smk)glyoxal_C2H2O2_PTR,(smk)ACETONE_C3H6O_PTR,(smk)acetamide_C2H5NO_PTR,(smk)trimethylamine_C3H9N_PTR,(smk)acetic_acid_C2H4O2_PTR,(smk)propanol_C3H8O_PTR,(smk)nitromethane_CH3NO2_PTR,(smk)DMS_PTR,(smk)cyanoallene_isomers_C4H3N_PTR,(smk)1_3_cyclopentadiene_C5H6,(smk)pyrrol_C4H5N_PTR,(smk)carbon_suboxide_C3O2_PTR,(smk)FURAN_C4H4O_PTR,(smk)ISOPRENE_C5H8_PTR,(smk)dihydropyrrole_C4H7N_PTR,(smk)propiolic_acid_C3H2O2_PTR,(smk)MACR_MVK_C4H6O_PTR,(smk)pentene_C5H10_PTR,(smk)butene_amine_C4H9N_PTR,(smk)methyl_glyoxal_C3H4O2_PTR,(smk)MEK_C4H8O_PTR,(smk)nitroethene_C2H3NO2_PTR,(smk)hydroxyacetone_C3H6O2_PTR,(smk)nitroethane_C2H5NO2_PTR,(smk)n_sulfinyl_methanamine_CH3NOS_PTR,(smk)BENZENE_C6H6_PTR,(smk)pyridine_C5H5N_PTR,(smk)2_4_cyclopentadiene_1_one_C5H4O_PTR,(smk)methyl_pyrrole_isomers_C5H7N_PTR,(smk)2_METHYLFURAN_C5H6O_PTR,(smk)pentanenitriles_C5H9N_PTR,(smk)thiophene_C4H4S_PTR,(smk)2_3H_furanone_C4H4O2_PTR,(smk)cyclopentanone_C5H8O_PTR,(smk)2_3_butanedione_C4H6O2_PTR,(smk)3_methyl_2_butanone_C5H10O_PTR,(smk)pyruvic_acid_C3H4O3_PTR,(smk)methyl_propanoate_C4H8O2_PTR,(smk)nitropropanes_C3H7NO2_PTR,(smk)ethylnylpyrrole_C6H5N_PTR,(smk)TOLUENE_C7H8_PTR,(smk)3_furancarbonitrile_C5H3NO_PTR,(smk)2_methyl_pyridine_C6H7N_PTR,(smk)dimethyl_disulfide_C2H6S2_PTR,(smk)phenol_C6H6O_PTR,(smk)4_pyridinol_C5H5NO_PTR,(smk)2_5_dimethyl_pyrrole_C6H9N_PTR,(smk)2_FURALDEHYDE_C5H4O2_PTR,(smk)2_5_dimethyl_furan_C6H8O,(smk)4_methylpentanenitrile_C6H11N_PTR,(smk)maleic_anhydride_C4H2O3_PTR,(smk)methyl_thiophenes_C5H6S_PTR,(smk)2_furanmethanol_C5H6O2_PTR,(smk)cyclohexanone_C6H10O_PTR,(smk)Methane_PICARRO,(smk)NO,(smk)NO2,(smk)O3,(smk)PAN_ppb
36,21.02596054,2.3783,34.267,4965.35,9.3685,48.7082,0.452206591,0.683022764,0.110590564,0.297400867,0.163044713,0.245577221,0.534083314,0.066346715,0.859105195,1.22963539,0.038423077,0.030130786,0.878543674,1.216575771,0.022444349,1.284980845,0.170071849,0.126047925,1.354009765,0.422834598,0.067228015,0.053914019,0.10907459,0.159416997,0.044320913,0.087794579,0.100289246,0.066084452,0.021052534,0.034600457,0.235673538,0.240814913,0.035561672,0.596919181,0.36631191,0.403175013,0.259078285,0.010871097,0.167599868,0.595205764,0.002654919,0.0,0.370593679,0.16278351,0.311286217,0.051466922,0.016153403,0.188746077,0.173185567,0.168082727,0.141004078,0.23038461,0.735483069,0.021192621,0.246327643,0.172093805,0.108925975,0.066105039,0.031408808,0.148449881,0.04499836,0.051590816,0.093703137,0.006956295,0.029595216,0.053215594,0.050311094,0.0,0.050553107,0.0,0.004280407,0.031544819,0.01460014,0.0,3.532314256,0.071346892,0.0,104.0404626,43.30781012,0.0,3.137550322,4.300797251,13.01225082,8.976187311,0.026567341,45.05211246,0.998675417,0.0,16.30740884,0.4328134,1.165984207,0.308118063,0.133096399,0.026364839,1.501305052,0.941628857,1.108178078,5.34588015,0.462406762,15.46966538,4.000411117,0.781885524,0.250759566,0.232803157,15.08252676,0.691157559,0.075215931,32.67256783,0.0,3.155700107,0.208214691,0.026915379,0.17554797,0.487289567,0.262948726,4.820852927,0.824750545,0.230603113,0.188579361,6.548448268,0.180232208,0.033749172,4.007694628,2.183712376,0.191787722,3.934625508,0.121986189,0.00962406,6.611518939,0.397639257,0.193332782,0.149239635,2.210864331,0.142683619,0.086974119,4.146527551,0.791013806,4.857261422,0.42180256,0.230448144,0.400169489,0.007681622,0.066677934,2.953683101,0.061714065,0.280632851,0.017369122,3.064801903,0.093030102,0.022478208,5.658695939,1.113620853,0.039121378,2.494882399,0.216303868,0.603319276,0.225680778,2172.7,8.81595,56.37975,101.070875,4.56078
37,23.5029077,4.22964,51.15706,5744.2,14.66618,64.48944,0.691462516,1.007017315,0.158947824,0.469036644,0.192411614,0.319471157,0.70070346,0.087813926,1.073541256,1.628614612,0.071591899,0.032552347,0.975698635,1.83088475,0.022207492,2.024034605,0.230729816,0.199771968,1.678831929,0.6568774,0.075564469,0.08245434,0.21508042,0.262476745,0.059894533,0.133944357,0.146507206,0.060999732,0.024812003,0.043308941,0.376786103,0.317206815,0.033715765,0.7646664,0.415212693,0.573202482,0.483314302,0.030518129,0.254654658,1.071859527,0.005643825,0.0,0.5571207,0.244749346,0.527491927,0.051820973,0.024216628,0.254863802,0.226052761,0.254336302,0.186562604,0.329910937,1.040487018,0.033624526,0.410850274,0.28815485,0.174177105,0.11820205,0.035920597,0.191058282,0.105399606,0.034431959,0.12099015,0.046140098,0.07101867,0.076630433,0.066149323,0.01236859,0.108673574,0.0,0.033690206,0.04723341,0.016676489,0.016420202,3.68908877,0.511029514,0.0,126.5744681,53.06809512,0.0,4.065948059,5.219207407,17.4261231,9.598491728,0.083636823,54.07413838,1.170649567,0.0,21.94085033,0.257252837,1.46622003,0.413542994,0.171949258,0.048486488,1.804612477,1.080011697,1.258318462,7.270796824,0.686002065,20.01949746,5.032671916,0.907297846,0.41958723,0.297245173,18.10000036,0.787427186,0.105614472,49.52124675,0.0,3.77026195,0.240830609,0.018710848,0.230245225,0.668405216,0.366243957,6.376478199,1.191795059,0.249726936,0.258911346,8.195414676,0.269683513,0.068154946,5.330868059,2.718898062,0.248442811,5.920148313,0.13986306,0.0,8.104869749,0.522739445,0.273001287,0.178601047,3.068444237,0.188204164,0.076177133,5.80340592,1.015148545,6.3250531,0.576398855,0.348737037,0.521282018,0.014891277,0.099390825,3.82685647,0.084624747,0.367821789,0.004826206,4.136108275,0.11869815,0.039669734,7.373085016,1.545937096,0.046057857,2.818427828,0.211813915,0.857831502,0.264556722,2243.24,6.81183,59.1724,92.3239,7.019945
38,31.63849147,1.1443,21.6307,1874.733333,5.6186,9.109033333,0.170375823,0.249138779,0.036039216,0.093554765,0.014743343,0.076687138,0.085633939,0.00998171,0.274936146,0.553908744,0.017717169,0.006059671,0.341151614,0.135590706,0.010879396,0.245718509,0.021509605,0.027712943,0.587180157,0.077165844,0.008499027,0.030337219,0.046151264,0.072470453,0.0,0.0,0.030274638,0.019944735,0.0,0.003715598,0.059867044,0.029161216,0.0,0.145940555,0.096881415,0.102556433,0.015721338,0.01012076,0.061556567,0.150287406,0.0,0.0,0.120894899,0.051155759,0.099632648,0.0,0.003868845,0.037464725,0.027120366,0.028117557,0.043070209,0.073118375,0.142964882,0.0,0.009988524,0.03189959,0.017301455,0.0,0.0,0.0090269,0.010033818,0.0,0.009357717,0.0,0.013166217,0.0,0.009495108,0.0,0.0,0.0,0.0,0.007805643,0.0,0.0,1.975139008,0.110316377,0.0,43.02770425,18.38774445,0.0,1.032315562,1.931732855,3.816702557,3.815228004,0.0,18.76876097,0.277968276,0.0,7.241176683,0.327694436,0.321905058,0.028295727,0.093159811,0.0,0.368772669,0.372368452,0.538954096,1.508555411,0.211172105,5.907718303,0.984602059,0.280566288,0.088947643,0.123020464,7.095055042,0.285301284,0.069253112,10.0359549,0.0,1.339582075,0.036017977,0.0,0.040611904,0.120583976,0.147068279,1.362629955,0.202528152,0.063142363,0.068170367,2.130178769,0.047679344,0.014490082,1.43967783,0.960879172,0.077523,1.283656198,0.025341488,0.01108854,2.600389664,0.173388668,0.03112418,0.028612349,0.419307997,0.057618811,0.116959842,0.882207994,0.196459936,1.365513362,0.15218874,0.124398984,0.100292479,0.004423869,0.038791749,1.110354049,0.014612436,0.098635584,0.014057948,0.596682432,0.011822157,0.0,1.371391186,0.18006054,0.005844967,1.450561952,0.051435126,0.103604078,0.067770013,1962.633333,3.20035,15.439,120.155,3.91393
39,32.30082225,3.46128,38.1908925,4468.975,12.9329325,44.29497,0.565486406,0.781338816,0.063981995,0.351962411,0.192693565,0.239757615,0.432701005,0.059924054,0.893912431,1.238557921,0.033958257,0.012205241,0.770328432,1.138569932,0.015238047,1.384303103,0.190030303,0.162873459,1.394949924,0.478760456,0.088532967,0.079961027,0.175600093,0.18484464,0.036880364,0.100148227,0.116154466,0.047415354,0.012920161,0.053387377,0.277587932,0.208470806,0.018465176,0.585712172,0.342861317,0.385979288,0.303654661,0.008500799,0.179967632,0.681585328,0.0,0.0,0.397326989,0.208324547,0.341886316,0.039775288,0.0239322,0.241174491,0.079264225,0.247164999,0.12606665,0.265804814,0.675149367,0.024691562,0.210921257,0.175168747,0.115036407,0.093449409,0.019644425,0.133921033,0.076001814,0.019133394,0.069375235,0.042099787,0.026692876,0.042384021,0.060934901,0.01776727,0.051010957,0.0,0.006343833,0.019087546,0.009964975,0.010499303,3.177471252,0.347539748,0.0,97.53966678,42.32030271,0.0,3.145089969,4.352717374,12.48822013,8.54623192,0.120080066,43.84659793,0.84815285,0.0,21.00938047,0.297573126,0.979990333,0.309357341,0.188008668,0.028466307,1.284398165,0.906245591,1.142870045,5.359220236,0.535758329,16.23550453,3.771379454,0.789875209,0.322596707,0.248163839,14.62652355,0.668060401,0.049693059,40.8822023,0.0,3.1462348,0.283272112,0.021425115,0.152827083,0.391023765,0.257888068,4.842678397,0.840350961,0.179170832,0.204724781,6.453164637,0.058215147,0.0,4.074473211,2.32267971,0.199233238,4.909719481,0.122842623,0.014204573,6.642778841,0.404781417,0.139469747,0.119866038,2.176244707,0.153330242,0.132859232,4.525847393,0.741245641,4.873672849,0.484862698,0.312136824,0.471383044,0.009999932,0.070385322,3.010611791,0.053379014,0.236869989,0.010501825,2.950797611,0.100607272,0.039343103,5.53006272,1.020488799,0.049045372,2.527840029,0.208988993,0.62682876,0.230092395,2150.975,4.5686,46.0905,97.701375,6.686145
40,36.27815578,3.17312,41.79787,4722.675,13.0084275,35.495685,0.622661275,0.720271305,0.100411267,0.437005701,0.092662249,0.264937994,0.407606931,0.047162755,0.862751204,1.374242443,0.067654097,0.05261257,0.826413319,1.063852213,0.025925216,1.393301514,0.154781842,0.147808606,1.516006651,0.427785324,0.06562234,0.061366789,0.137071654,0.210387573,0.051141665,0.092734881,0.087772636,0.049612013,0.0,0.049300596,0.280707518,0.204647579,0.026845992,0.606995082,0.315955272,0.457541853,0.25982085,0.023506592,0.190538091,0.661078749,0.002709412,0.0,0.423090565,0.204701924,0.390974682,0.01668514,0.017893653,0.207284628,0.111048061,0.218790893,0.125133857,0.24578963,0.608265658,0.026164815,0.164682204,0.155427364,0.126943412,0.09585376,0.019110586,0.105030097,0.085682796,0.031525997,0.060460083,0.043340971,0.028427004,0.05769833,0.076123975,0.011247114,0.044510573,0.008236001,0.008851776,0.029198667,0.007144489,0.010817223,3.474995124,0.22788373,0.0,100.9526764,44.48472956,0.0,3.074726017,4.643807527,13.24256598,7.901255388,0.062698359,45.45244477,0.804121993,0.0,20.77736371,0.431568669,1.084388494,0.297149411,0.170025644,0.05048054,1.395788418,0.884525217,1.110592405,5.216524288,0.478693118,16.22692219,3.556496026,0.80621323,0.256465799,0.234458556,15.67846145,0.698575703,0.086195202,40.46043816,0.0,3.121508041,0.146333817,0.0,0.12992971,0.419684329,0.301958595,4.649400312,0.895755255,0.190189784,0.264515287,6.40960722,0.115731504,0.011782684,3.910021588,2.182493206,0.156329483,4.770821406,0.099274268,0.007294006,6.705699611,0.408292365,0.121360889,0.120798633,2.097673716,0.125211482,0.258023158,4.235584367,0.769134027,4.69553447,0.430276862,0.314139913,0.441818316,0.00943626,0.10711227,3.024350059,0.031279081,0.300637951,0.026444707,2.848078244,0.082706123,0.035354664,5.604741239,1.000989082,0.053725661,2.775969788,0.134349409,0.605849987,0.226016921,2163.45,4.93065,39.403,116.84125,7.243315
41,46.88747962,2.161555,42.2490575,3914.825,11.3569125,18.0820675,0.473311316,0.540694824,0.068690326,0.229060284,0.067423854,0.201485546,0.174283426,0.027879141,0.728136903,0.870615609,0.027684139,0.016441184,0.733118224,0.392910582,0.007242483,0.68887961,0.075703393,0.077369523,1.239372841,0.211672822,0.057096875,0.065252337,0.118730511,0.108781617,0.025726425,0.055979788,0.066471056,0.006692252,0.012839366,0.025618305,0.159767961,0.105089598,0.009778336,0.393272362,0.213580915,0.314750729,0.099104119,0.012856305,0.118330644,0.288285695,0.0,0.0,0.256148181,0.156057522,0.181243912,0.0,0.010684327,0.075905025,0.046743716,0.150609906,0.051309763,0.138977775,0.239578358,0.017266925,0.045037948,0.071204964,0.066702698,0.042685165,0.006293535,0.03470126,0.02370841,0.015519974,0.044211457,0.032339194,0.0,0.039283947,0.039271284,0.0,0.008442274,0.0,0.00377595,0.006414416,0.0,0.005614241,2.823689673,0.476406113,0.0,97.27334569,35.633102,0.0,2.031711649,3.629205287,7.720371014,7.115803928,0.0,35.45167438,0.505516758,0.0,18.40842009,0.576964914,0.695874004,0.197957103,0.102843993,0.018349208,0.75480161,0.69445721,1.093285352,3.200357303,0.331204392,11.51516386,2.07484953,0.527810478,0.15579093,0.165186082,12.85212719,0.579946723,0.041492617,30.19913692,0.0,2.547539294,0.074532643,0.0,0.075318011,0.263204451,0.256127569,2.695825101,0.456027164,0.144094517,0.169280694,4.190950151,0.056128027,0.0,2.62175725,1.634095143,0.142426911,3.503691641,0.089640616,0.008070777,5.063686328,0.32380786,0.052962558,0.08084437,1.048791362,0.109271909,0.157727734,2.469855598,0.470174431,2.878858903,0.320467921,0.294503323,0.290439569,0.010756683,0.083771201,2.189775017,0.044836047,0.212015632,0.013940944,1.638790818,0.042840707,0.008510823,3.132369961,0.446728788,0.030731504,2.771102392,0.307283522,0.275178521,0.10635544,2105.45,4.1765375,33.761125,149.47625,7.79827
42,47.03034838,2.622205,49.41902,3783.475,12.34461,14.3397525,0.618739958,0.589486979,0.080610843,0.323678449,0.125315187,0.257702988,0.215325498,0.049893867,0.688978288,1.114623393,0.032945588,0.024724566,0.736455002,0.533593866,0.011555884,0.918034499,0.122448149,0.122137812,1.285065336,0.319267292,0.042873958,0.068338587,0.137524163,0.186232921,0.044442118,0.090509434,0.026436915,0.065108751,0.006013815,0.035124083,0.218895363,0.095068536,0.011186585,0.491248854,0.265420285,0.403886736,0.095479265,0.013486047,0.186054792,0.398478911,0.001758883,0.0,0.344609467,0.171960827,0.192658864,0.024985783,0.012906579,0.123475974,0.060153223,0.163177992,0.08120187,0.219492042,0.281489459,0.019770451,0.104017074,0.121233268,0.14245083,0.049462905,0.004696441,0.076748888,0.041606629,0.024323888,0.050627635,0.032770843,0.044281541,0.040924154,0.05095595,0.008308267,0.045418989,0.0,0.010420722,0.019221794,0.004385199,0.0,3.400848042,0.219454075,0.0,97.84954736,39.52696583,0.0,2.360614742,4.128112791,9.505682029,7.048681917,0.079502418,40.63491096,0.505435267,0.0,22.14695792,0.0,0.617917882,0.177919252,0.219622064,0.0,0.932184225,0.795361361,1.224238737,3.742632154,0.445664196,13.40342277,2.489588912,0.710056614,0.165005328,0.264985552,14.45004136,0.686334686,0.068033647,38.06287749,0.0,2.847114731,0.199892719,0.008838234,0.091957033,0.293178554,0.202855488,3.567186782,0.560653986,0.189407955,0.225805582,4.671428852,0.059374496,0.043295356,3.334036316,2.181672815,0.156121946,4.410329936,0.081303782,0.01250894,5.751371091,0.330075441,0.072372587,0.081189628,1.435513481,0.129478831,0.203738385,3.28704759,0.536557488,3.549761719,0.440037351,0.291883782,0.369234598,0.010722513,0.082190625,2.65687816,0.039714063,0.244450027,0.017316352,1.863151997,0.067064011,0.018330458,3.672277898,0.625461802,0.040259862,2.838320206,0.478324521,0.404194048,0.125994263,2146.85,2.479975,20.89675,154.8,10.2246
43,61.37235418,1.1340225,28.3214475,2433.3,7.7286225,5.3084575,0.323504443,0.267717129,0.031906616,0.116068468,0.03356221,0.118407597,0.069190114,0.008518494,0.363380685,0.515825697,0.022251484,0.023082668,0.385868217,0.186772282,0.004650018,0.347910452,0.038475384,0.03417124,0.832922665,0.123583015,0.018216505,0.031705251,0.06598925,0.029802247,0.024681403,0.037787314,0.032017945,0.0,0.007684686,0.01143195,0.07359433,0.042172453,0.0,0.214730041,0.110146723,0.16303576,0.031503306,0.002539842,0.072232029,0.135371306,0.002199692,0.0,0.178996074,0.049558352,0.114588052,0.0,0.004509667,0.031436599,0.040695186,0.061633814,0.04535769,0.08063729,0.091398373,0.002665643,0.031697351,0.021488256,0.052127757,0.02373638,0.0,0.022558811,0.010637243,0.0,0.006874536,0.0,0.010678604,0.020839517,0.017331986,0.0,0.0,0.0,0.0,0.006636335,0.0,0.004781473,2.213232729,0.153481888,0.0,55.65079126,22.25939317,0.0,1.09840786,2.09330858,3.906340266,4.481295985,0.0,21.17387672,0.141226124,0.0,11.63745823,0.582778553,0.240258674,0.112036277,0.040791634,0.013661831,0.35695372,0.419535329,0.680809873,1.53922985,0.183530089,6.287579378,0.97735614,0.399236316,0.047202549,0.101840953,8.02477276,0.334559887,0.081129225,17.20336106,0.0,1.60628463,0.024988037,0.0,0.048904267,0.141500378,0.161619385,1.397099553,0.236353488,0.056221982,0.110611314,2.255384969,0.032798659,0.0,1.608895624,1.168770932,0.037859043,1.968598561,0.025377134,0.0,3.241815584,0.175505082,0.028931342,0.026661422,0.515276211,0.07881011,0.079844945,1.375937988,0.202944724,1.542524834,0.207576656,0.174753473,0.176755019,0.003431662,0.040628123,1.280540359,0.036513303,0.086343428,0.008517983,0.763168925,0.038199589,0.009811567,1.553118657,0.25681952,0.01627897,1.825741534,0.287019003,0.161034818,0.059283344,2020.4,2.46945,18.013875,145.00625,7.729375
44,64.51002325,1.0912475,35.6565275,2918.44,7.7237825,3.3819725,0.413061363,0.368709742,0.021382133,0.169944928,0.051516589,0.141755093,0.055077153,0.025327476,0.448024963,0.581583884,0.023824257,0.018707585,0.539905409,0.191263687,0.003133531,0.464356716,0.02990417,0.050927994,1.021330928,0.165793163,0.027553249,0.037784988,0.087431033,0.077807021,0.025732827,0.039554846,0.025963199,0.019643576,0.005809872,0.028125006,0.087008396,0.040935645,0.002305113,0.23018044,0.123612667,0.210902626,0.045380084,0.00769545,0.100953482,0.169708116,0.004026099,0.0,0.209015825,0.10092655,0.084580508,0.0,0.002329809,0.050940282,0.039824104,0.077821029,0.042929286,0.11572135,0.067754784,0.010295394,0.051019692,0.026561295,0.086726641,0.016351326,0.004860409,0.031878269,0.006402477,0.013121376,0.030148413,0.017714984,0.012943279,0.016028852,0.012980447,0.0,0.0,0.0,0.003203254,0.003976648,0.0,0.0,2.411230773,0.240539324,0.0,68.96302077,25.59399496,0.0,1.199380751,2.498759161,3.615837209,5.269100896,0.045773035,24.50527108,0.0,0.0,16.22315762,0.151378761,0.374021213,0.089440071,0.094837795,0.0,0.492307048,0.409707976,0.935407363,1.722837485,0.237300099,7.028883065,1.072797658,0.335748621,0.111762604,0.13534903,9.56782421,0.424998859,0.032145912,23.19082435,0.0,1.900705328,0.089694942,0.0,0.061389811,0.122167057,0.183652183,1.561350438,0.240908568,0.093071422,0.129045797,2.386681284,0.009306361,0.0,1.76581519,1.283866902,0.098579935,2.561328385,0.074157575,0.0,3.682195059,0.232424725,0.024096261,0.032166809,0.580890062,0.082967405,0.156694845,1.818227945,0.227020449,1.90861174,0.276573695,0.245421031,0.231030936,0.003137914,0.041504187,1.540989111,0.034463308,0.156636499,0.007269997,0.799660617,0.032789818,0.003936762,1.740945187,0.237853434,0.015319951,2.409474776,0.348590098,0.170488556,0.093878106,2055.04,1.81457,15.5108,172.009,9.006003333
45,73.04684782,0.575576667,22.15254,1582.466667,5.263223333,1.52672,0.230754689,0.161426732,0.0,0.044770057,0.0,0.056082946,0.047618126,0.0,0.221670378,0.299826046,0.0,0.0,0.227602833,0.092712269,0.0,0.167888767,0.0,0.027392286,0.463252088,0.076896779,0.0,0.007893586,0.040742083,0.038127644,0.0,0.01986149,0.0,0.0,0.0,0.0,0.036976349,0.008183491,0.00403008,0.086378151,0.053372598,0.101767673,0.011998579,0.005581286,0.044412556,0.017168781,0.0,0.0,0.088604435,0.044535556,0.03764553,0.0,0.0,0.01031511,0.0,0.057057281,0.010491445,0.065399563,0.0,0.0,0.0,0.0,0.01519237,0.0,0.0,0.0,0.0,0.0,0.011456999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.670310495,0.0,0.0,38.07394769,14.62342421,0.0,0.583562208,1.449148239,2.090708894,3.218910091,0.0,12.88880676,0.0,0.0,7.932834617,0.0,0.078817462,0.071829851,0.0,0.0,0.171494141,0.282139414,0.447137591,0.811620529,0.129878251,3.491107906,0.402014647,0.246934383,0.045349875,0.130691358,5.718422056,0.280785896,0.0,10.50689684,0.0,0.985631094,0.0,0.0,0.011414929,0.10091889,0.046872224,0.606540692,0.131819284,0.042475883,0.118647171,1.077764705,0.0,0.012862649,0.944833204,0.862526131,0.019010847,1.083136516,0.0,0.015231791,2.010625975,0.141378549,0.006296492,0.023035768,0.24067388,0.058078995,0.129312933,0.604194971,0.119199796,0.76816862,0.131241244,0.084981563,0.109846002,0.0,0.030389874,0.852672782,0.015779444,0.077803441,0.007294921,0.312464006,0.007719727,0.006222141,0.710870052,0.09062171,0.0,1.325703631,0.247155721,0.04724768,0.025954251,1977.833333,1.6711,9.215566667,138.6266667,5.893425
