Age_physical_avg_min,PRESSURE,TEMPERATURE,RHUM,SZA,JNO2_NO_O3P,JHNO2_OH_NO,JH2O2_2OH,JHNO3_OH_NO2,JO3_O2_O1D,JCH2O_H_HCO,JCH2O_H2_CO,JNO3_NO_O2,JNO3_NO2_O3P,JN2O5_NO3_NO2,JHNO4_HO2_NO2_UV_VISonly,JCH3CHO_CH3_HCO,JPropanal_C2H5_HCO,JCH3OOH_CH3O_OH,JMeONO2_CH3O_NO2,JEthONO2_CH3CH2O_NO2,JCH3COOONO2_CH3COOO_NO2,JCH3COOONO2_CH3COO_NO3,JMAC_Products,JMVK_Products,JAcetone_CH3CO_CH3,JMEK_CH3CO_CH2CH3,JHydroxyacetone_CH3COO_CH3,JHydroxyacetone_CH3CO_CH3O,JCHOCHO_HCO_HCO,JCHOCHO_H2_2CO,JCHOCHO_CH2O_CO,JCH3COCHO_CH3CO_HCO,J23Butanedione_Products,JCl2_Cl_Cl,JClO_Cl_O3P,JClNO2_Cl_NO2,JClONO_Cl_NO2,JClONO2_Cl_NO3,JClONO2_ClO_NO2,JBr2_Br_Br,JBrO_Br_O,JHOBr_OH_Br,JBrNO_Br_NO,JBrONO_Br_NO2,JBrONO_BrO_NO,JBrNO2_Br_NO2,JBrONO2_BrO_NO2,JBrONO2_Br_NO3,JBrCl_Br_Cl,JCHBr3_Products
21.03,670.97325125,283.32016489999995,10.46337225,40.302396215,0.0061382745,0.00088712125,3.26247625e-06,2.1921966e-07,1.05653325e-05,1.3195164500000002e-05,2.38042625e-05,0.02707527,0.2150714,1.7193674e-05,2.68510475e-06,2.350471075e-06,7.778077500000001e-06,2.46337475e-06,3.09199675e-07,5.03437325e-07,1.836442025e-07,7.8704655e-08,2.5797052500000002e-06,2.467512e-06,1.5711582999999998e-07,2.1760466e-06,3.5260552500000005e-07,3.5260552500000005e-07,4.84315175e-05,6.9630692499999995e-06,1.348320825e-05,8.74865425e-05,0.0002641256,0.0013149726500000002,1.600582e-05,0.00015924920249999998,0.001972733325,2.20903825e-05,3.12781325e-06,0.033541465,0.01768207075,0.00160810205,0.0222070225,0.00527444025,0.00527444025,0.0035862867499999998,0.0001431013675,0.0008109077250000001,0.00921268725,4.26583425e-07
23.5,670.8735596,283.1056329,9.7887734,40.93848808,0.0036627702,0.0004976009400000001,1.6352652e-06,1.01468508e-07,4.7059308e-06,6.2760867999999995e-06,1.18909988e-05,0.023440928,0.17847872,8.6593504e-06,1.2807216399999998e-06,1.0759171200000002e-06,3.6216717999999998e-06,1.24400208e-06,1.4270048000000002e-07,2.3267161999999998e-07,8.7048466e-08,3.7306487999999993e-08,1.3623741999999999e-06,1.2231426000000001e-06,6.8940758e-08,1.00815634e-06,1.6522494000000002e-07,1.6522494000000002e-07,2.9056992e-05,3.3872227999999996e-06,6.865102400000001e-06,5.043655e-05,0.0001828503,0.00074314302,7.1483367999999995e-06,8.215099e-05,0.0010179752800000001,1.2509928e-05,1.5061948e-06,0.024906736000000002,0.0090972542,0.0010358832400000002,0.01699075,0.0026761615999999996,0.0026761615999999996,0.0023029104,8.9613002e-05,0.00050780706,0.006293353000000001,1.970365e-07
32.3,670.87289425,283.3861849,12.772961500000001,42.780335505,0.0039376655,0.000558518775,1.9866367500000003e-06,1.28945585e-07,6.014612499999999e-06,7.91632625e-06,1.45481805e-05,0.0212921475,0.163309225,1.0493362500000001e-05,1.6050180500000001e-06,1.374997825e-06,4.602551250000001e-06,1.50338425e-06,1.81737395e-07,2.96246275e-07,1.096120475e-07,4.69766025e-08,1.59796345e-06,1.5008915e-06,8.87431925e-08,1.2829699e-06,2.0901457500000002e-07,2.0901457500000002e-07,3.11414775e-05,4.2050877500000004e-06,8.25056325e-06,5.5431780000000005e-05,0.0001794712,0.00083218455,9.167770249999999e-06,9.796396999999998e-05,0.001213261075,1.39528855e-05,1.8787435e-06,0.0236964675,0.01088652225,0.0010677175500000001,0.016069885,0.00323344475,0.00323344475,0.002365564,9.38400175e-05,0.0005317601,0.006251524499999999,2.5069279999999997e-07
36.28,657.9585875,282.55636965,5.95701925,43.7513783225,0.005315180500000001,0.0007402592,2.4905005e-06,1.550617e-07,7.096133999999999e-06,9.676026000000001e-06,1.8316575000000002e-05,0.028009035,0.2199819,1.310503e-05,1.9658865e-06,1.66905e-06,5.611269e-06,1.8949389999999999e-06,2.180165e-07,3.5550579999999994e-07,1.3321275e-07,5.7091185e-08,2.060891e-06,1.9001915e-06,1.0488689e-07,1.561508e-06,2.5356935e-07,2.5356935e-07,4.195859e-05,5.203386e-06,1.03988755e-05,7.434461e-05,0.00024993195,0.0010946714500000001,1.08296705e-05,0.0001242142,0.0015459165,1.836547e-05,2.30777e-06,0.0328242,0.01387292,0.0014481175,0.021866755,0.004093195,0.004093195,0.0032415290000000004,0.00012675379999999999,0.0007182715,0.0086148685,3.0014909999999996e-07
46.89,656.69697575,282.54036815,5.13417325,44.8374603475,0.00656600775,0.000971251225,3.628233e-06,2.39532975e-07,1.11179475e-05,1.48054475e-05,2.6915877500000003e-05,0.025803785,0.20693899999999998,1.89579325e-05,2.985174e-06,2.6034412500000003e-06,8.6776245e-06,2.74445625e-06,3.3745295e-07,5.49834125e-07,2.0268274999999998e-07,8.68640225e-08,2.8695055000000003e-06,2.80528325e-06,1.6552714999999999e-07,2.42027775e-06,3.8994075000000003e-07,3.8994075000000003e-07,5.164154499999999e-05,7.79874775e-06,1.496372e-05,9.4659795e-05,0.0002682879,0.00143404525,1.69302175e-05,0.00017656439999999999,0.002198377,2.3887080000000002e-05,3.47470475e-06,0.033413985,0.019821695,0.00168443625,0.0219972025,0.0059210915000000005,0.0059210915000000005,0.00374466,0.0001509421,0.000855338475,0.009444679000000001,4.6296957499999996e-07
47.03,656.96829225,282.59783789999994,9.6446445,45.9961669075,0.007078304499999999,0.00102677325,3.705139e-06,2.3889115e-07,1.0927637500000001e-05,1.4888655e-05,2.7474325e-05,0.02998645,0.2406632,1.940741e-05,3.002971e-06,2.586383e-06,8.667478999999999e-06,2.8081684999999997e-06,3.363609e-07,5.483694499999999e-07,2.0379960000000002e-07,8.7342705e-08,2.976625e-06,2.855087e-06,1.619227e-07,2.4135405e-06,3.9012300000000003e-07,3.9012300000000003e-07,5.5721525e-05,7.893799500000001e-06,1.5338875e-05,0.00010104034999999999,0.00030330255,0.001515789,1.6705735e-05,0.00018182900000000002,0.002264155,2.530031e-05,3.508318e-06,0.0382935,0.020402335,0.0018482815,0.025157225,0.006069566,0.006069566,0.004127441,0.00016445740000000002,0.00093192505,0.0105758495,4.6186225e-07
61.37,644.48156725,281.29045815,5.562447,47.154776945,0.0067106155,0.00101802395,3.9608705e-06,2.632577e-07,1.198951e-05,1.6547115e-05,2.9696125e-05,0.024497635,0.19546725,2.037008e-05,3.30978e-06,2.9162185e-06,9.720082499999999e-06,3.0001675e-06,3.702252e-07,6.0284475e-07,2.2169075e-07,9.501030999999999e-08,3.090269e-06,3.1215179999999997e-06,1.7700800000000002e-07,2.7089150000000002e-06,4.3312075e-07,4.3312075e-07,5.2894390000000006e-05,8.640518499999999e-06,1.6346575e-05,9.846889999999999e-05,0.00026010675,0.0015107095000000002,1.837051e-05,0.00019089895,0.0023883805,2.4920295000000002e-05,3.820921e-06,0.031981205,0.02159714,0.0016976285,0.02116508,0.0064809385,0.0064809385,0.0037416025,0.00015335055,0.0008689864999999999,0.0092726385,5.0241385e-07
64.51,640.1794068,280.8202905,11.424855800000001,48.087344638000005,0.006934903199999999,0.0010380844,3.8967726e-06,2.5252776e-07,1.1340814e-05,1.6048234e-05,2.9296079999999998e-05,0.026434773999999998,0.21134696,1.9984602e-05,3.2123163999999995e-06,2.8049777999999998e-06,9.388416e-06,2.9615449999999997e-06,3.546184e-07,5.775542e-07,2.1409221999999999e-07,9.175383199999999e-08,3.0950262e-06,3.0809157999999997e-06,1.6681092e-07,2.6126352000000004e-06,4.179079e-07,4.179079e-07,5.4580788000000005e-05,8.4396924e-06,1.6127872e-05,0.000101024508,0.00027761368,0.0015329366000000001,1.743154e-05,0.00018909664,0.0023735896,2.5283594e-05,3.7143822e-06,0.034385452000000004,0.02147476,0.001769347,0.022670173999999998,0.0064188362,0.0064188362,0.003922080200000001,0.00015898523999999999,0.00090091634,0.00982312,4.8050214e-07
73.05,639.763855,280.8746179,6.48447733333333,48.89298741,0.008570549,0.00132116566666667,5.26907466666667e-06,3.52051933333333e-07,1.5909413333333302e-05,2.2291260000000002e-05,3.9733616666666706e-05,0.0273024933333333,0.22259949999999998,2.6920176666666698e-05,4.440175e-06,3.9321256666666706e-06,1.31056266666667e-05,3.9917303333333296e-06,4.94780266666667e-07,8.054609000000001e-07,2.95858966666667e-07,1.267967e-07,4.07640833333333e-06,4.19212366666667e-06,2.345553e-07,3.6512603333333296e-06,5.81768566666667e-07,5.81768566666667e-07,6.75988933333333e-05,1.1583856666666699e-05,2.173567e-05,0.00012697083333333302,0.0003185638,0.0019643693333333302,2.44509166666667e-05,0.000252612133333333,0.003166418,3.22599533333333e-05,5.10704933333333e-06,0.0382614566666667,0.0286820333333333,0.00213403133333333,0.0250452566666667,0.00862952066666667,0.00862952066666667,0.004694258,0.000194256166666667,0.0011007846666666698,0.0114219966666667,6.685919666666669e-07
84.15,639.962134,280.9514905,5.8860454,50.980013452,0.008003191,0.0012419263999999999,4.9984174e-06,3.3155996e-07,1.4700664e-05,2.1229118e-05,3.7888704e-05,0.025142044,0.20432926,2.5535108e-05,4.207560200000001e-06,3.6947699999999998e-06,1.23897192e-05,3.7856506e-06,4.6604256e-07,7.5915734e-07,2.8039934000000004e-07,1.20171166e-07,3.8613283999999995e-06,3.9863010000000005e-06,2.1600684e-07,3.4444243999999996e-06,5.5009752e-07,5.5009752e-07,6.3134658e-05,1.10129552e-05,2.060714e-05,0.00011882954,0.00029321412,0.0018506668,2.2687924e-05,0.00023956883999999998,0.0030030509999999996,3.0306118e-05,4.8451356e-06,0.03514024,0.02726399,0.0019873788,0.02307113,0.0082072602,0.0082072602,0.0043571916,0.00018121896,0.00102690766,0.010557208,6.294339999999999e-07
