dat_flg	plume_bg_num	plume_num	t_start	t_stop	wind_speed_m_per_s_new	wind_speed_m_per_s	dist_from_fire_m_new	dist_from_fire_m	IsEmissionPass	Age_physical_avg_min	Flight_ID	closest_fire	emission_pass_name
2290	0	NA	2018-07-24 19:45:00	2018-07-24 19:45:14	NA	NA	NA	NA	NA	NA	NA	NA	
2291	NA	0	2018-07-24 19:45:15	2018-07-24 19:53:39	7.746666667	9.18	27226.39619	35477.98	NA	58.57658389	RF01	Rattlesnake Creek Fire	
2292	0	NA	2018-07-24 19:53:40	2018-07-24 19:53:54	NA	NA	NA	NA	NA	NA	NA	NA	
2702	1	NA	2018-07-24 20:00:44	2018-07-24 20:00:58	NA	NA	NA	NA	NA	NA	NA	NA	
2703	NA	1	2018-07-24 20:00:59	2018-07-24 20:06:31	7.746666667	9.32	29280.78658	42840.09	NA	62.99652878	RF01	Rattlesnake Creek Fire	
2704	1	NA	2018-07-24 20:06:32	2018-07-24 20:06:46	NA	NA	NA	NA	NA	NA	NA	NA	
3350	2	NA	2018-07-24 20:17:33	2018-07-24 20:17:47	NA	NA	NA	NA	NA	NA	NA	NA	
3351	NA	2	2018-07-24 20:17:48	2018-07-24 20:26:39	7.746666667	7.13	23560.1615	37023.34	NA	50.68881562	RF01	Rattlesnake Creek Fire	
3352	2	NA	2018-07-24 20:26:40	2018-07-24 20:26:54	NA	NA	NA	NA	NA	NA	NA	NA	
3716	3	NA	2018-07-24 20:32:58	2018-07-24 20:33:12	NA	NA	NA	NA	NA	NA	NA	NA	
3717	NA	3	2018-07-24 20:33:13	2018-07-24 20:37:17	7.746666667	8.67	57579.93872	62787	NA	123.8811074	RF01	Rattlesnake Creek Fire	
3718	3	NA	2018-07-24 20:37:18	2018-07-24 20:37:32	NA	NA	NA	NA	NA	NA	NA	NA	
4925	4	NA	2018-07-24 20:57:41	2018-07-24 20:57:55	NA	NA	NA	NA	NA	NA	NA	NA	
4926	NA	4	2018-07-24 20:57:56	2018-07-24 21:03:38	7.746666667	6.54	44729.5446	48711.61	NA	96.23395998	RF01	Rattlesnake Creek Fire	
4927	4	NA	2018-07-24 21:03:39	2018-07-24 21:03:53	NA	NA	NA	NA	NA	NA	NA	NA	
5221	5	NA	2018-07-24 21:08:48	2018-07-24 21:09:02	NA	NA	NA	NA	NA	NA	NA	NA	
5222	NA	5	2018-07-24 21:09:03	2018-07-24 21:13:48	7.746666667	7.93	44093.11524	51208.7	NA	94.86470578	RF01	Rattlesnake Creek Fire	
5223	5	NA	2018-07-24 21:13:49	2018-07-24 21:14:03	NA	NA	NA	NA	NA	NA	NA	NA	
6242	6	NA	2018-07-24 21:31:04	2018-07-24 21:31:18	NA	NA	NA	NA	NA	NA	NA	NA	
6243	NA	6	2018-07-24 21:31:19	2018-07-24 21:39:56	7.746666667	7.35	87794.94451	94897.78	NA	188.8875742	RF01	Rattlesnake Creek Fire	
6244	6	NA	2018-07-24 21:39:57	2018-07-24 21:40:11	NA	NA	NA	NA	NA	NA	NA	NA	
7177	7	NA	2018-07-24 21:55:45	2018-07-24 21:55:59	NA	NA	NA	NA	NA	NA	NA	NA	
7178	NA	7	2018-07-24 21:56:00	2018-07-24 22:02:20	7.746666667	7.93	54282.67805	54545.49	NA	116.7871731	RF01	Rattlesnake Creek Fire	
7179	7	NA	2018-07-24 22:02:21	2018-07-24 22:02:35	NA	NA	NA	NA	NA	NA	NA	NA	
7560	8	NA	2018-07-24 22:08:57	2018-07-24 22:09:11	NA	NA	NA	NA	NA	NA	NA	NA	
7561	NA	8	2018-07-24 22:09:12	2018-07-24 22:14:59	7.746666667	8.61	NA	NA	NA	25739.9306	RF01	uncertain	
7562	8	NA	2018-07-24 22:15:00	2018-07-24 22:15:14	NA	NA	NA	NA	NA	NA	NA	NA	
7607	9	NA	2018-07-24 22:15:59	2018-07-24 22:16:13	NA	NA	NA	NA	NA	NA	NA	NA	
7608	NA	9	2018-07-24 22:16:14	2018-07-24 22:26:40	7.746666667	6.67	91797.30294	95066.3	NA	197.4985003	RF01	Rattlesnake Creek Fire	
7609	9	NA	2018-07-24 22:26:41	2018-07-24 22:26:55	NA	NA	NA	NA	NA	NA	NA	NA	
7872	10	NA	2018-07-24 22:31:20	2018-07-24 22:31:34	NA	NA	NA	NA	NA	NA	NA	NA	
7873	NA	10	2018-07-24 22:31:35	2018-07-24 22:35:50	7.746666667	7.65	NA	NA	NA	25661.39946	RF01	uncertain	
7874	10	NA	2018-07-24 22:35:51	2018-07-24 22:36:05	NA	NA	NA	NA	NA	NA	NA	NA	
8136	11	NA	2018-07-24 22:40:28	2018-07-24 22:40:42	NA	NA	NA	NA	NA	NA	NA	NA	
8137	NA	11	2018-07-24 22:40:43	2018-07-24 22:52:15	7.746666667	9.76	130222.8762	148385.64	NA	280.1696992	RF01	Rattlesnake Creek Fire	
8138	11	NA	2018-07-24 22:52:16	2018-07-24 22:52:30	NA	NA	NA	NA	NA	NA	NA	NA	
8866	12	NA	2018-07-24 23:04:39	2018-07-24 23:04:53	NA	NA	NA	NA	NA	NA	NA	NA	
