Names	WE-CAN_ER
Methane_PICARRO	46.30782275
ethene_C2H4_PTR	15.82872375
formaldehyde_CH2O_PTR	18.21991739
METHANOL_CH3OH_PTR	13.16456096
PROPYNE_C3H4_PTR	0
ACETONITRILE_C2H3N_PTR	2.089845677
propene_C3H6_PTR	4.922851315
isocyanic_acid_HNCO_PTR	1.101264438
ethenamine_C2H5N_PTR	0.071621133
ACETALDEHYDE_C2H4O_PTR	10.54952449
formamide_CH3NO_PTR	0.229186988
CH2O2_UWCIMS	9.505533363
ETHANOL_C2H6O_PTR	0.194519378
1_buten_3_yne_C4H4_PTR	0.279100162
acrylonitrile_C3H3N_PTR	0.234074603
2_propynal_C3H2O_PTR	0.197821553
butadiene_C4H6_PTR	1.362988998
propane_PTR	2.739551347
acrolein_C3H4O_PTR	1.87223002
1_BUTENE_PTR	1.267779595
methyl_isocyanate_C2H3NO_PTR	0.163033447
propene_amine_C3H7N_PTR	0.087359029
glyoxal_C2H2O2_PTR	0.028179639
ACETONE_C3H6O_PTR	4.060803427
acetamide_C2H5NO_PTR	0.188952536
trimethylamine_C3H9N_PTR	0.025695389
acetic_acid_C2H4O2_PTR	11.47655517
nitromethane_CH3NO2_PTR	0.376499277
DMS_PTR	0.405331879
cyanoallene_isomers_C4H3N_PTR	0.00735216
1_3_cyclopentadiene_C5H6	0.239616598
pyrrol_C4H5N_PTR	0.162893523
carbon_suboxide_C3O2_PTR	0.036993417
FURAN_C4H4O_PTR	1.720673092
ISOPRENE_C5H8_PTR	0.314959963
dihydropyrrole_C4H7N_PTR	0.0814736
propiolic_acid_C3H2O2_PTR	0.04432938
MACR_MVK_C4H6O_PTR	1.559119862
pentene_C5H10_PTR	0.421915383
butene_amine_C4H9N_PTR	0.014026768
methyl_glyoxal_C3H4O2_PTR	0.838046879
MEK_C4H8O_PTR	0.815864748
nitroethene_C2H3NO2_PTR	0.038010061
hydroxyacetone_C3H6O2_PTR	2.105721013
nitroethane_C2H5NO2_PTR	0.044881191
BENZENE_C6H6_PTR	3.704440188
pyridine_C5H5N_PTR	0.131345483
2_4_cyclopentadiene_1_one_C5H4O_PTR	0.092127028
methyl_pyrrole_isomers_C5H7N_PTR	0.068953995
2_METHYLFURAN_C5H6O_PTR	0.918459912
pentanenitriles_C5H9N_PTR	0.070688579
2_3H_furanone_C4H4O2_PTR	1.071346339
cyclopentanone_C5H8O_PTR	0.281263644
2_3_butanedione_C4H6O2_PTR	1.685656491
3_methyl_2_butanone_C5H10O_PTR	0.199366637
pyruvic_acid_C3H4O3_PTR	0.063047536
methyl_propanoate_C4H8O2_PTR	0.25002702
nitropropanes_C3H7NO2_PTR	0.007408949
ethylnylpyrrole_C6H5N_PTR	0.027954553
TOLUENE_C7H8_PTR	2.424200079
3_furancarbonitrile_C5H3NO_PTR	0.025923831
2_methyl_pyridine_C6H7N_PTR	0.103696529
C6H6O_UWCIMS	0.975771877
phenol_C6H6O_PTR	0.975771877
2_FURALDEHYDE_C5H4O2_PTR	1.519476783
